"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT3G51060","AT3G51060","Chir05Ox-b16400.2","STY1",0.471,0.004,"Yes","SRS","anther development, auxin homeostasis, DNA binding, DNA-binding transcription factor activity, negative regulation of gibberellic acid mediated signaling pathway, nucleus, pollen development, positive regulation of DNA-templated transcription, protein heterodimerization activity, stigma development, style development, xylem and phloem pattern formation","GEP_1",1
"AT1G19790","AT1G19790","Chir01Ox-b19700.2","SRS7",0.443,0.005,"Yes","SRS","DNA binding, DNA-binding transcription factor activity, mRNA transcription, nucleus, positive regulation of DNA-templated transcription, protein binding","GEP_1",2
"AT4G19810","AT4G19810","Chir07Ox-b16670.2","ChiC",0.2595,0.005,NA,NA,"chitin binding, chitin catabolic process, chitinase activity, endochitinase activity, exochitinase activity, extracellular region, plant-type cell wall, response to abscisic acid, response to jasmonic acid, response to salt stress, secretory vesicle","DEGs",3
"AT2G43610","AT2G43610","Chir04Ox-b26430.2","F18O19.28",0.451,0.005,NA,NA,"alpha-amino acid metabolic process, carboxylic acid biosynthetic process, cell wall macromolecule catabolic process, chitinase activity, extracellular region, plasma membrane, protein binding, root development, tissue development","DEGs",4
"AT1G22900","AT1G22900","Chir01Ox-b22650.2","F19G10.14",0.387,0.0055,NA,NA,"defense response to other organism, extracellular region, molecular_function","DEGs",5
"AT2G04160","AT2G04160","Chir03Ox-b26140.2","AT2G04160.1",0.3395,0.0065,NA,NA,"extracellular region, lateral root morphogenesis, response to auxin, serine-type endopeptidase activity","DEGs",6
"AT5G63850","AT5G63850","Chir08Ox-b26390.2","AAP4",0.269,0.007,NA,NA,"acidic amino acid transmembrane transporter activity, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transmembrane transporter activity, plasma membrane, primary active transmembrane transporter activity, transmembrane transport","GEP_1",7
"AT3G16660","AT3G16660","Chir03Ox-b16450.2","MGL6.12",0.187,0.0075,NA,NA,"extracellular region, molecular_function, response to light stimulus","DEGs",8
"AT1G69310","AT1G69310","Chir02Ox-b15720.2","WRKY57",0.243,0.009,"Yes","WRKY","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to osmotic stress, response to salt stress, response to water deprivation, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",9
"AT4G23550","AT4G23550","Chir07Ox-b20540.2","WRKY29",0.4145,0.0095,"Yes","WRKY","DNA-binding transcription factor activity, nucleus, transcription cis-regulatory region binding","DEGs",10
"AT3G60890","AT3G60890","Chir05Ox-b26740.2","AT3G60890.1",0.463,0.011,NA,NA,"biological_process, mitochondrion, protein binding","GEP_1",11
"AT3G24450","AT3G24450","Chir03Ox-b24740.2","AtHMP27",0.378,0.013,NA,NA,"metal ion binding, response to light intensity","GEP_1",12
"AT4G36160","AT4G36160","Chir07Ox-b33690.2","ANAC076",0.398,0.014,"Yes","NAC","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","GEP_1",13
"AT4G23300","AT4G23300","Chir07Ox-b20280.2","CRK22",0.262,0.015,NA,NA,"defense response to bacterium, kinase activity, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity","DEGs",14
