"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT3G16660","Chir03Ox-b16450.2","MGL6.12",0.187,0.0075,NA,NA,"extracellular region, molecular_function, response to light stimulus","DEGs"
"AT4G19810","Chir07Ox-b16670.2","ChiC",0.2595,0.005,NA,NA,"chitin binding, chitin catabolic process, chitinase activity, endochitinase activity, exochitinase activity, extracellular region, plant-type cell wall, response to abscisic acid, response to jasmonic acid, response to salt stress, secretory vesicle","DEGs"
"AT2G43610","Chir04Ox-b26430.2","F18O19.28",0.451,0.005,NA,NA,"alpha-amino acid metabolic process, carboxylic acid biosynthetic process, cell wall macromolecule catabolic process, chitinase activity, extracellular region, plasma membrane, protein binding, root development, tissue development","DEGs"
"AT1G22900","Chir01Ox-b22650.2","F19G10.14",0.387,0.0055,NA,NA,"defense response to other organism, extracellular region, molecular_function","DEGs"
"AT2G04160","Chir03Ox-b26140.2","AT2G04160.1",0.3395,0.0065,NA,NA,"extracellular region, lateral root morphogenesis, response to auxin, serine-type endopeptidase activity","DEGs"
"AT5G62680","Chir08Ox-b25200.2","GTR2",0.2785,0.0315,NA,NA,"glucosinolate transport, glucosinolate:proton symporter activity, phloem glucosinolate loading, plasma membrane, plasmodesma","DEGs"
"AT2G43590","Chir04Ox-b26410.2","F18O19.30",0.232,0.0325,NA,NA,"cell wall macromolecule catabolic process, cellular response to hormone stimulus, cellular response to oxygen-containing compound, chitinase activity, defense response to bacterium, defense response to fungus, extracellular region, oxoacid metabolic process, regulation of defense response, response to inorganic substance, root morphogenesis, secondary metabolic process, secretory vesicle","DEGs"
"AT3G05730","Chir03Ox-b05170.2","F18C1.19",0.7125,0.1065,NA,NA,"biological_process, extracellular region, molecular_function, secretory vesicle","DEGs"
"AT4G21215","Chir07Ox-b17790.2","AT4G21215.1",0.3735,0.0275,NA,NA,"nucleus, oxoacid metabolic process, response to light stimulus","DEGs"
"AT4G23300","Chir07Ox-b20280.2","CRK22",0.262,0.015,NA,NA,"defense response to bacterium, kinase activity, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity","DEGs"
