"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT3G16660",0,3.61986103487386,0.107,0.002,0,0,4.5098903164466,0.267,0.013,0,0,0,"Chir03Ox-b16450.2",NA,NA,"MGL6.12","extracellular region, molecular_function, response to light stimulus"
"AT4G19810",0,1.4489054276091,0.284,0.005,0,0,1.27834987520484,0.235,0.005,0,0,0,"Chir07Ox-b16670.2",NA,NA,"ChiC","chitin binding, chitin catabolic process, chitinase activity, endochitinase activity, exochitinase activity, extracellular region, plant-type cell wall, response to abscisic acid, response to jasmonic acid, response to salt stress, secretory vesicle"
"AT2G43610",0,2.15650864079611,0.501,0.006,0,0,1.20083140952269,0.401,0.004,0,0,0,"Chir04Ox-b26430.2",NA,NA,"F18O19.28","alpha-amino acid metabolic process, carboxylic acid biosynthetic process, cell wall macromolecule catabolic process, chitinase activity, extracellular region, plasma membrane, protein binding, root development, tissue development"
"AT1G22900",0,2.53873348126506,0.481,0.008,0,0,1.03703060268758,0.293,0.003,0,0,0,"Chir01Ox-b22650.2",NA,NA,"F19G10.14","defense response to other organism, extracellular region, molecular_function"
"AT2G04160",0,1.56635896671115,0.338,0.009,0,0,1.05642899096357,0.341,0.004,0,0,0,"Chir03Ox-b26140.2",NA,NA,"AT2G04160.1","extracellular region, lateral root morphogenesis, response to auxin, serine-type endopeptidase activity"
"AT5G62680",0,1.25387105338441,0.256,0.015,0,1.6728406859024e-246,1.17921156433537,0.301,0.048,3.07083364711103e-242,1.6728406859024e-246,0,"Chir08Ox-b25200.2",NA,NA,"GTR2","glucosinolate transport, glucosinolate:proton symporter activity, phloem glucosinolate loading, plasma membrane, plasmodesma"
"AT2G43590",4.81991506251613e-130,2.54138379772469,0.318,0.064,8.84791808026087e-126,0,1.39631187105791,0.146,0.001,0,4.81991506251613e-130,0,"Chir04Ox-b26410.2",NA,NA,"F18O19.30","cell wall macromolecule catabolic process, cellular response to hormone stimulus, cellular response to oxygen-containing compound, chitinase activity, defense response to bacterium, defense response to fungus, extracellular region, oxoacid metabolic process, regulation of defense response, response to inorganic substance, root morphogenesis, secondary metabolic process, secretory vesicle"
"AT3G05730",0,7.22222972179022,0.741,0.114,0,0,6.76442432400429,0.684,0.099,0,0,0,"Chir03Ox-b05170.2",NA,NA,"F18C1.19","biological_process, extracellular region, molecular_function, secretory vesicle"
"AT4G21215",0,0.89227856745635,0.399,0.032,0,0,0.796914792426945,0.348,0.023,0,0,0,"Chir07Ox-b17790.2",NA,NA,"AT4G21215.1","nucleus, oxoacid metabolic process, response to light stimulus"
"AT4G23300",0,0.865627818984545,0.311,0.026,0,0,0.555392828774301,0.213,0.004,0,0,0,"Chir07Ox-b20280.2",NA,NA,"CRK22","defense response to bacterium, kinase activity, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity"
