"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT1G58270","Chir07Ox-b03220.2","AT1G58270.1",1.29560945121279,0.231,0.034,0.517761236353309,2,0,0,NA,NA,"carbohydrate derivative metabolic process, cell differentiation, cellular lipid metabolic process, defense response to other organism, developmental growth, lipid biosynthetic process, monocarboxylic acid metabolic process, nucleus, organic acid biosynthetic process, plant epidermis development, plant-type cell wall biogenesis, plasmodesma, response to alcohol, response to organonitrogen compound, response to water deprivation, response to wounding, root morphogenesis","GEP_43"
"AT5G55620","Chir08Ox-b17580.2","MDF20.6",1.00638805882304,0.288,0.038,0.426101415507358,5,0,0,NA,NA,"cell differentiation, cellular_component, molecular_function, phyllome development, plant organ morphogenesis, response to light stimulus, vitamin metabolic process","GEP_43"
"AT4G14550","Chir07Ox-b10470.2","SLR",1.03696685238524,0.378,0.054,0.229376601603972,16,0,0,NA,NA,"DNA-binding transcription factor activity, lateral root morphogenesis, negative regulation of DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, transcription cis-regulatory region binding","GEP_43"
"AT5G15310","Chir06Ox-b24060.2","ATMYB16",1.0917769700805,0.556,0.066,0.324562950120662,9,0,0,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_43"
"AT3G51600","Chir05Ox-b16920.2","AT3G51600.1",2.93452821032215,0.469,0.073,0.22800636476595,17,0,0,NA,NA,"cytosol, extracellular region, lipid transport, lipid transporter activity, plant-type cell wall, plasmodesma","GEP_43"
"AT1G51500","Chir01Ox-b40390.2","CER5",1.06317508824886,0.694,0.083,0.15446789688834,41,0,0,NA,NA,"ABC-type transporter activity, ATPase-coupled transmembrane transporter activity, defense response to virus, efflux transmembrane transporter activity, endoplasmic reticulum, export from cell, plasma membrane, protein binding, response to abscisic acid, response to salt stress, transmembrane transport, wax biosynthetic process","GEP_43"
"AT5G14410","Chir06Ox-b24990.2","F18O22.200",1.04918343270959,0.673,0.083,0.164604148123872,33,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_43"
"AT5G20270","Chir06Ox-b18750.2","AT5G20270.1",1.22298697509901,0.718,0.089,0.120355185644433,54,0,0,NA,NA,"negative regulation of abscisic acid-activated signaling pathway, nucleus, response to hormone, response to salt stress, response to sucrose, signaling receptor activity","GEP_43"
"AT1G64670","Chir02Ox-b00160.2","CED1",1.12568591777006,0.739,0.093,0.131076475061928,51,0,0,NA,NA,"chloroplast, cuticle development, cutin biosynthetic process, cytoplasm, defense response to fungus, lateral root development, nucleus, plant-type cell wall, positive regulation of cutin biosynthetic process, positive regulation of response to water deprivation, regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, suberin biosynthetic process, transpiration","GEP_43"
"AT1G01610","Chir01Ox-b00640.2","ATGPAT4",0.923356511786361,0.679,0.088,0.143555563714522,46,0,0,NA,NA,"chloroplast, cutin biosynthetic process, glycerol-3-phosphate 2-O-acyltransferase activity, membrane, phosphatase activity, sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity","GEP_43"
