"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT2G18196","AT2G18196","Chir07Ox-b01460.2","AtHMP16",0.19,0.001,NA,NA,"molecular_function, plasma membrane, response to water deprivation","GEP_9 and DEGs",1
"AT4G15690","AT4G15690","Chir07Ox-b12140.2","ROXY12",0.275,0.001,NA,NA,"cytoplasm, cytosol, glutathione oxidoreductase activity, negative regulation of transcription by RNA polymerase II, nucleus, protein binding, response to nitrate","GEP_9 and DEGs",2
"AT4G16008","AT4G16008","Chir07Ox-b12600.2",NA,0.429,0.001,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_9 and DEGs",3
"AT5G06850","AT5G06850","Chir06Ox-b32110.2","MCTP1",0.55,0.001,NA,NA,"endoplasmic reticulum, long-day photoperiodism, flowering, nucleus, plasmodesma, plasmodesmatal endoplasmic reticulum, positive regulation of flower development, protein binding, vegetative to reproductive phase transition of meristem","GEP_9 and DEGs",4
"AT5G18240","AT5G18240","Chir06Ox-b20970.2","MYR1",0.513,0.001,"Yes","G2-like","DNA-binding transcription factor activity, mitochondrion, protein binding, regulation of DNA-templated transcription, response to light stimulus","GEP_9 and DEGs",5
"AT2G18328","AT2G18328","Chir03Ox-b32960.2","ATRL4",0.152,0.0015,"Yes","MYB_related","biological_process, cytosol, DNA-binding transcription factor activity, nucleus","DEGs",6
"AT1G54575","AT1G54575","Chir02Ox-b09740.2",NA,0.249,0.002,NA,NA,"extracellular region, molecular_function, nucleus, phyllome development","GEP_9 and DEGs",7
"AT2G03500","AT2G03500","Chir05Ox-b02240.2","HHO4",0.534,0.002,"Yes","G2-like","DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, histone H3-K36 methylation, negative regulation of long-day photoperiodism, flowering, negative regulation of nucleic acid-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to temperature stimulus","GEP_9 and DEGs",8
"AT2G15310","AT2G15310","Chir03Ox-b29450.2","ATARFB1A",0.407,0.002,NA,NA,"cytoplasm, Golgi apparatus, GTP binding, GTPase activity, intracellular protein transport, N-terminal protein myristoylation, vesicle-mediated transport","GEP_9 and DEGs",9
"AT2G16740","AT2G16740","Chir03Ox-b30840.2","UBC29",0.344,0.002,NA,NA,"nucleus, ubiquitin conjugating enzyme activity, ubiquitin-dependent protein catabolic process, ubiquitin-protein transferase activity","GEP_9 and DEGs",10
