"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT5G17450","Chir06Ox-b21880.2","AtHMP45",0.6605,0.002,NA,NA,"cadmium ion homeostasis, detoxification of cadmium ion, metal ion binding, metal ion transport, nucleus","DEGs"
"AT5G27690","Chir06Ox-b12610.2","AT5G27690.1",0.883,0.002,NA,NA,"cellular response to hormone stimulus, nucleus, oxoacid metabolic process, protein binding","DEGs"
"AT1G10380","Chir01Ox-b10090.2","AT1G10380.1",0.531,0.0045,NA,NA,"extracellular region, plant-type cell wall organization or biogenesis, polysaccharide binding, response to light stimulus","DEGs"
"AT1G06830","Chir01Ox-b06200.2","CEPD1",0.383,0.0065,NA,NA,"cellular response to nitrogen starvation, cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding","DEGs"
"AT4G34560","Chir07Ox-b32000.2","T4L20.140",0.4705,0.0105,NA,NA,"cellular carbohydrate metabolic process, chloroplast, molecular_function","DEGs"
"AT5G43380","Chir06Ox-b06140.2","TOPP6",0.8605,0.0025,NA,NA,"aging, cytoplasm, mitochondrion, myosin phosphatase activity, nucleus, protein dephosphorylation, protein serine/threonine phosphatase activity, response to light stimulus","DEGs"
"AT2G30540","Chir04Ox-b12270.2","ROXY7",0.5095,0.004,NA,NA,"cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding","DEGs"
"AT5G63850","Chir08Ox-b26390.2","AAP4",0.428,0.012,NA,NA,"acidic amino acid transmembrane transporter activity, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transmembrane transporter activity, plasma membrane, primary active transmembrane transporter activity, transmembrane transport","DEGs"
"AT3G21600","Chir03Ox-b21760.2","MIL23.17",0.8745,0.0045,NA,NA,"molecular_function, nucleus, plasma membrane, response to inorganic substance, secondary metabolic process","DEGs"
"AT4G19840","Chir07Ox-b16700.2","ATPP2-A1",0.5575,0.004,NA,NA,"carbohydrate binding, proteoglycan binding, response to insect","DEGs"
