"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT2G18196","Chir07Ox-b01460.2","AtHMP16",1.00417398277177,0.19,0.001,0.934084455665625,6,0,0,NA,NA,"molecular_function, plasma membrane, response to water deprivation","GEP_9"
"AT4G15690","Chir07Ox-b12140.2","ROXY12",1.68492006283341,0.275,0.001,0.978670888551617,2,0,0,NA,NA,"cytoplasm, cytosol, glutathione oxidoreductase activity, negative regulation of transcription by RNA polymerase II, nucleus, protein binding, response to nitrate","GEP_9"
"AT4G16008","Chir07Ox-b12600.2",NA,1.1528841124967,0.429,0.001,0.674881657905343,29,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_9"
"AT5G06850","Chir06Ox-b32110.2","MCTP1",1.07571789216941,0.55,0.001,0.703182706291026,25,0,0,NA,NA,"endoplasmic reticulum, long-day photoperiodism, flowering, nucleus, plasmodesma, plasmodesmatal endoplasmic reticulum, positive regulation of flower development, protein binding, vegetative to reproductive phase transition of meristem","GEP_9"
"AT5G18240","Chir06Ox-b20970.2","MYR1",1.75742100298843,0.513,0.001,0.957982089327104,4,0,0,"Yes","G2-like","DNA-binding transcription factor activity, mitochondrion, protein binding, regulation of DNA-templated transcription, response to light stimulus","GEP_9"
"AT1G54575","Chir02Ox-b09740.2",NA,2.04750162914628,0.249,0.002,0.556383441078325,33,0,0,NA,NA,"extracellular region, molecular_function, nucleus, phyllome development","GEP_9"
"AT2G03500","Chir05Ox-b02240.2","HHO4",1.08369192417987,0.534,0.002,0.48349086076569,37,0,0,"Yes","G2-like","DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, histone H3-K36 methylation, negative regulation of long-day photoperiodism, flowering, negative regulation of nucleic acid-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to temperature stimulus","GEP_9"
"AT2G15310","Chir03Ox-b29450.2","ATARFB1A",1.60196457867366,0.407,0.002,0.691285200461486,26,0,0,NA,NA,"cytoplasm, Golgi apparatus, GTP binding, GTPase activity, intracellular protein transport, N-terminal protein myristoylation, vesicle-mediated transport","GEP_9"
"AT2G16740","Chir03Ox-b30840.2","UBC29",1.52528654962841,0.344,0.002,0.676438241126834,28,0,0,NA,NA,"nucleus, ubiquitin conjugating enzyme activity, ubiquitin-dependent protein catabolic process, ubiquitin-protein transferase activity","GEP_9"
"AT5G09220","Chir06Ox-b30110.2","AAP2",2.16110875131935,0.127,0.002,0.807187468546333,20,0,0,NA,NA,"acidic amino acid transport, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transport, phloem loading, plasma membrane","GEP_9"
