"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT5G24800","Chir06Ox-b14960.2","ATBZIP9",0.258,0.0145,"Yes","bZIP","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"AT1G19850","Chir01Ox-b19750.2","ARF5",0.688,0.1245,"Yes","ARF","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation","DEGs"
"AT3G50410","Chir05Ox-b15760.2","DOF3.4",0.556,0.107,"Yes","Dof","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding","DEGs"
"AT3G55370","Chir05Ox-b20920.2","OBP3",0.3865,0.011,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, nucleus, photomorphogenesis, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"AT2G30590","Chir04Ox-b12350.2","WRKY21",0.5595,0.186,"Yes","WRKY","calmodulin binding, DNA-binding transcription factor activity, glucosinolate metabolic process, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"AT5G10510","Chir06Ox-b28760.2","AIL6",0.4515,0.023,"Yes","AP2","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, flower development, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, organ growth, phyllotactic patterning, plant organ morphogenesis, regulation of DNA-templated transcription, regulation of floral meristem growth, root development, transcription cis-regulatory region binding","DEGs"
"AT2G37590","Chir04Ox-b19900.2","ATDOF2.4",0.1975,0.0025,"Yes","Dof","DNA-binding transcription factor activity, nucleus, plasmodesmata-mediated intercellular transport, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding","DEGs"
"AT1G07640","Chir01Ox-b07120.2","OBP2",0.249,0.009,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding","DEGs"
"AT1G69580","Chir02Ox-b16030.2","AT1G69580.1",0.274,0.0345,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"AT1G29160","Chir01Ox-b27710.2","COG1",0.177,0.055,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, seed coat development, transcription cis-regulatory region binding","DEGs"
