"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT2G37590","AT2G37590","Chir04Ox-b19900.2","ATDOF2.4",0.1975,0.0025,"Yes","Dof","DNA-binding transcription factor activity, nucleus, plasmodesmata-mediated intercellular transport, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding","DEGs",1
"AT5G25490","AT5G25490","Chir06Ox-b14280.2","T14C9.30",0.3255,0.007,NA,NA,"cell differentiation, cellular component biogenesis, cytoplasm, mRNA binding, nucleus, porphyrin-containing compound metabolic process, regionalization, regulation of biological quality, response to light stimulus, RNA binding","DEGs",2
"AT5G37660","AT5G37660","Chir07Ox-b05400.2","AT5G37660.2",0.229,0.0075,NA,NA,"extracellular region, plasmodesma","DEGs",3
"AT1G07640","AT1G07640","Chir01Ox-b07120.2","OBP2",0.249,0.009,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding","DEGs",4
"AT3G55370","AT3G55370","Chir05Ox-b20920.2","OBP3",0.3865,0.011,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, nucleus, photomorphogenesis, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",5
"AT3G15680","AT3G15680","Chir03Ox-b15440.2","MSJ11.28",0.438,0.0145,NA,NA,"cytoplasm, mRNA binding, nucleus, RNA binding, tissue development","DEGs",6
"AT5G24800","AT5G24800","Chir06Ox-b14960.2","ATBZIP9",0.258,0.0145,"Yes","bZIP","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",7
"AT3G02000","AT3G02000","Chir03Ox-b00110.2","ROXY1",0.291,0.015,NA,NA,"anther development, cytoplasm, disulfide oxidoreductase activity, glutathione oxidoreductase activity, negative regulation of DNA-templated transcription, negative regulation of transcription by RNA polymerase II, nucleus, petal development, petal formation, protein binding, protein disulfide isomerase activity, stamen morphogenesis","GEP_19 and DEGs",8
"AT3G28420","AT3G28420","Chir05Ox-b06080.2","MFJ20.12",0.359,0.015,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_19 and DEGs",9
"AT5G62280","AT5G62280","Chir08Ox-b24790.2","MMI9.11",0.221,0.019,NA,NA,"cellular response to ethylene stimulus, cellular_component, lipid metabolic process, molecular_function, organelle organization, organic hydroxy compound metabolic process, plant epidermis development, root morphogenesis","GEP_19",10
"AT3G28455","AT3G28455","Chir05Ox-b06130.2","AT3G28455.1",0.509,0.0205,NA,NA,"apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, positive regulation of abscisic acid biosynthetic process, positive regulation of response to water deprivation, receptor serine/threonine kinase binding, regulation of cell differentiation","DEGs",11
