"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT5G25490",0,1.63959119978859,0.36,0.006,0,0,1.36103667496206,0.291,0.008,0,0,0,"Chir06Ox-b14280.2",NA,NA,"T14C9.30","cell differentiation, cellular component biogenesis, cytoplasm, mRNA binding, nucleus, porphyrin-containing compound metabolic process, regionalization, regulation of biological quality, response to light stimulus, RNA binding"
"AT3G15680",0,2.9591631961575,0.457,0.009,0,0,2.55795544847166,0.419,0.02,0,0,0,"Chir03Ox-b15440.2",NA,NA,"MSJ11.28","cytoplasm, mRNA binding, nucleus, RNA binding, tissue development"
"AT3G28455",0,1.27240038208733,0.477,0.009,0,0,1.27032973513493,0.541,0.032,0,0,0,"Chir05Ox-b06130.2",NA,NA,"AT3G28455.1","apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, positive regulation of abscisic acid biosynthetic process, positive regulation of response to water deprivation, receptor serine/threonine kinase binding, regulation of cell differentiation"
"AT5G12050",0,1.1588348362844,0.366,0.042,0,0,1.12704554473186,0.594,0.192,0,0,0,"Chir06Ox-b27080.2",NA,NA,"BG1","auxin transport, circadian rhythm, molecular_function, nucleus, plasma membrane, positive regulation of auxin mediated signaling pathway"
"AT2G02130",0,3.26194372393699,0.907,0.157,0,0,2.79258793912124,0.605,0.135,0,0,0,"Chir05Ox-b01200.2",NA,NA,"PDF2.3","cellular lipid metabolic process, defense response, extracellular region, lipid biosynthetic process, mitochondrion, plant-type cell wall, plasmodesma"
"AT1G18250",0,1.4813959327768,0.632,0.169,0,1.44999170194314e-210,1.12290464528385,0.858,0.545,2.66174976725703e-206,1.44999170194314e-210,0,"Chir01Ox-b18250.2",NA,NA,"AT1G18250.1","defense response, extracellular region"
"AT2G28790",0,1.92847651246111,0.856,0.339,0,0,1.35090101475262,0.943,0.553,0,0,0,"Chir04Ox-b10440.2",NA,NA,"F8N16.8","defense response, extracellular region, molecular_function, plant-type cell wall, plasmodesma, secretory vesicle"
"AT2G38800",0,0.956988147466385,0.458,0.052,0,0,0.443228978946559,0.266,0.02,0,0,0,"Chir04Ox-b21350.2",NA,NA,"F13I13.3","calmodulin binding, cellular catabolic process, cellular response to abscisic acid stimulus, hormone-mediated signaling pathway, nucleus, response to light intensity, response to salt stress, response to water deprivation"
"AT5G37660",0,0.914742903839112,0.288,0.009,0,0,0.397897725578842,0.17,0.006,0,0,0,"Chir07Ox-b05400.2",NA,NA,"AT5G37660.2","extracellular region, plasmodesma"
"AT3G16500",8.74125997582783e-192,0.902270719491576,0.574,0.232,1.60463309376271e-187,2.99060807635342e-196,0.539410894185521,0.542,0.227,5.48985924576197e-192,8.74125997582783e-192,5.98121615270689e-196,"Chir03Ox-b16290.2",NA,NA,"IAA26","DNA-binding transcription factor activity, identical protein binding, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin"
