"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT3G02000","Chir03Ox-b00110.2","ROXY1",1.2660189050111,0.291,0.015,0.916900204956962,1,0,0,NA,NA,"anther development, cytoplasm, disulfide oxidoreductase activity, glutathione oxidoreductase activity, negative regulation of DNA-templated transcription, negative regulation of transcription by RNA polymerase II, nucleus, petal development, petal formation, protein binding, protein disulfide isomerase activity, stamen morphogenesis","GEP_19"
"AT3G62100","Chir05Ox-b27800.2","AT3G62100.1",1.25067002418739,0.369,0.032,0.300978654691092,24,0,0,NA,NA,"DNA-binding transcription factor activity, gravitropism, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, somatic embryogenesis, transcription cis-regulatory region binding","GEP_19"
"AT5G60200","Chir08Ox-b22680.2","DOF5.3",1.58325171202876,0.658,0.047,0.333297552000325,20,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","GEP_19"
"AT5G01370","Chir06Ox-b37330.2","TRM29",2.02691450586431,0.518,0.062,0.271682571505862,27,0,0,NA,NA,"fruit dehiscence, nucleus, protein binding","GEP_19"
"AT2G21050","Chir04Ox-b00160.2","LAX2",1.71351398505734,0.606,0.064,0.545959436392839,9,0,0,NA,NA,"amino acid transmembrane transport, amino acid transmembrane transporter activity, cotyledon vascular tissue pattern formation, membrane, plasma membrane, response to nematode, root cap development","GEP_19"
"AT3G63300","Chir05Ox-b28960.2","AT3G63300.1",1.90439288190309,0.715,0.069,0.63028251276543,5,0,0,NA,NA,"auxin-activated signaling pathway, chloroplast, leaf vascular tissue pattern formation, nucleus, phloem or xylem histogenesis, phosphatidylinositol binding, post-Golgi vesicle-mediated transport, protein binding, response to auxin, signal transduction, trans-Golgi network","GEP_19"
"AT5G57130","Chir08Ox-b19320.2","SMXL5",1.16482178161237,0.674,0.077,0.352423890428693,18,0,0,NA,NA,"carbohydrate homeostasis, cellular_component, phloem transport","GEP_19"
"AT5G62280","Chir08Ox-b24790.2","MMI9.11",0.9830510847434,0.221,0.019,0.829680389616604,2,0,0,NA,NA,"cellular response to ethylene stimulus, cellular_component, lipid metabolic process, molecular_function, organelle organization, organic hydroxy compound metabolic process, plant epidermis development, root morphogenesis","GEP_19"
"AT1G73590","Chir02Ox-b20320.2","PIN1",0.95571372835571,0.547,0.05,0.516099684641482,10,0,0,NA,NA,"apical part of cell, auxin efflux transmembrane transporter activity, auxin export across the plasma membrane, auxin homeostasis, auxin polar transport, basal plasma membrane, cotyledon development, cotyledon morphogenesis, cytoplasm, embryo development ending in seed dormancy, endoplasmic reticulum, flower development, gravitropism, inflorescence development, leaf formation, leaf shaping, phosphorylation, photomorphogenesis, plant-type cell wall, plasma membrane, plasmodesma, protein binding, root development, shoot system development, xylem and phloem pattern formation","GEP_19"
"AT3G28420","Chir05Ox-b06080.2","MFJ20.12",0.915629192805834,0.359,0.015,0.557554484310855,7,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_19"
