"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT4G26960","AT4G26960","Chir07Ox-b24080.2","F10M23.300",0.64,0.1465,NA,NA,"macromolecule catabolic process, meiotic cell cycle process, molecular_function, nucleus","DEGs",1
"AT3G12170","AT3G12170","Chir03Ox-b11420.2","F28J15.2",0.687,0.202,NA,NA,"biological_process, cytoplasm, molecular_function","DEGs",2
"AT2G24970","AT2G24970","Chir04Ox-b05770.2","F27C12.11",0.644,0.2235,NA,NA,"cell division, chromosome segregation, microtubule binding, mitotic cell cycle, outer kinetochore, spindle microtubule","DEGs",3
"AT3G52630","AT3G52630","Chir05Ox-b18110.2","RPA3A",0.751,0.236,NA,NA,"DNA repair, DNA replication","DEGs",4
"AT3G02820","AT3G02820","Chir03Ox-b01960.2","F13E7.24",0.763,0.237,NA,NA,"DNA binding, DNA replication checkpoint signaling, nucleic acid binding, nucleus, replication fork arrest, replication fork protection, replication fork protection complex, zinc ion binding","DEGs",5
"AT5G54970","AT5G54970","Chir08Ox-b16950.2","MBG8.24",0.7455,0.302,NA,NA,"molecular_function, nucleus, response to inorganic substance","DEGs",6
"AT3G46940","AT3G46940","Chir05Ox-b11830.2","DUT1",0.909,0.3455,NA,NA,"DNA repair, dUMP biosynthetic process, dUTP catabolic process, dUTP diphosphatase activity, identical protein binding, magnesium ion binding","DEGs",7
"AT2G16780","AT2G16780","Chir03Ox-b30880.2","MSI2",0.776,0.3765,NA,NA,"chromatin remodeling, Cul4-RING E3 ubiquitin ligase complex, histone binding, nucleus, regulation of DNA-templated transcription","DEGs",8
"AT2G28790","AT2G28790","Chir04Ox-b10440.2","F8N16.8",0.631,0.456,NA,NA,"defense response, extracellular region, molecular_function, plant-type cell wall, plasmodesma, secretory vesicle","GEP_20",9
"AT5G28640","AT5G28640","Chir06Ox-b11690.2","AN3",0.704,0.475,NA,NA,"adaxial/abaxial pattern specification, cell division, cell population proliferation, cotyledon development, leaf development, nucleus, positive regulation of transcription by RNA polymerase II, protein binding, regulation of gene expression, transcription coactivator activity","GEP_20",10
"AT4G15910","AT4G15910","Chir07Ox-b12450.2","ATDI21",0.708,0.518,NA,NA,"chloroplast, cold acclimation, mitochondrion, molecular_function, response to abscisic acid, response to cold, response to stress, response to water deprivation","GEP_20",11
"AT1G10522","AT1G10522","Chir01Ox-b10250.2","PRIN2",0.873,0.644,NA,NA,"DNA binding, plastid nucleoid, plastid-encoded plastid RNA polymerase complex, protein binding, regulation of gene expression, response to light intensity","GEP_20",12
"AT3G56070","AT3G56070","Chir05Ox-b21690.2","ROC2",0.793,0.654,NA,NA,"cyclosporin A binding, cytoplasm, cytosol, Golgi apparatus, mitochondrion, peptidyl-prolyl cis-trans isomerase activity, protein folding, signal transduction","GEP_20",13
"AT3G23830","AT3G23830","Chir03Ox-b24020.2","GR-RBP4",0.801,0.659,NA,NA,"cytosol, double-stranded DNA binding, extracellular space, extracellular transport, miRNA binding, miRNA transport, mitochondrial RNA modification, mitochondrion, regulation of defense response to virus, response to cold, response to osmotic stress, response to salt stress, response to water deprivation, RNA binding, RNA transport, single-stranded DNA binding, single-stranded RNA binding, siRNA binding","GEP_20",14
"AT5G23310","AT5G23310","Chir06Ox-b16430.2","SOD3",0.904,0.693,NA,NA,"chloroplast, chloroplast nucleoid, plastid nucleoid, protein binding, removal of superoxide radicals, superoxide dismutase activity, thylakoid","GEP_20",15
"AT1G14410","AT1G14410","Chir01Ox-b14440.2","ATWHY1",0.904,0.701,"Yes","Whirly","chloroplast, chloroplast nucleoid, defense response, DNA binding, DNA repair, extracellular region, mRNA binding, negative regulation of telomere maintenance via telomerase, regulation of DNA-templated transcription, single-stranded DNA binding, telomeric DNA binding","GEP_20",16
"AT2G20490","AT2G20490","Chir03Ox-b35030.2","NOP10",0.937,0.862,NA,NA,"box H/ACA snoRNA binding, box H/ACA snoRNP complex, box H/ACA telomerase RNP complex, Cajal body, mitochondrion, nucleolus, nucleus, polar nucleus fusion, pseudouridine synthesis, rRNA pseudouridine synthesis, snoRNA binding, snRNA pseudouridine synthesis, telomerase RNA binding","GEP_20",17
"AT5G22650","AT5G22650","Chir06Ox-b17120.2","HDT02",0.942,0.879,NA,NA,"DNA-mediated transformation, histone deacetylase activity, mitochondrion, negative regulation of DNA-templated transcription, nucleolus, nucleus, plant-type cell wall, plant-type vacuole, plastid, polarity specification of adaxial/abaxial axis, protein binding, root development, seed dormancy process","GEP_20",18
