"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT5G36910","Chir01Ox-b36180.2","AT5G36910.1",0.609,0.1475,NA,NA,"defense response, extracellular region, toxin activity","DEGs"
"AT5G22500","Chir06Ox-b17250.2","AT5G22500.1",0.529,0.073,NA,NA,"alcohol-forming fatty acyl-CoA reductase activity, chloroplast, fatty-acyl-CoA reductase (alcohol-forming) activity, intracellular membrane-bounded organelle, long-chain fatty-acyl-CoA metabolic process, long-chain-fatty-acyl-CoA reductase activity, plasma membrane, response to salt stress, response to wounding, suberin biosynthetic process","DEGs"
"AT1G11600","Chir01Ox-b11470.2","CYP77B1",0.656,0.11,NA,NA,"fatty acid biosynthetic process, flower development, heme binding, iron ion binding, linoleic acid epoxygenase activity, membrane, organelle organization, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, plant organ morphogenesis, plasma membrane, regulation of gene expression by genomic imprinting, tissue development","DEGs"
"AT1G01120","Chir01Ox-b01160.2","AT1G01120.1",0.599,0.0925,NA,NA,"cellular response to cold, cuticle development, cytoplasm, cytosolic ribosome, endoplasmic reticulum, fatty acid elongase activity, fatty acid elongation, membrane, protein binding, response to cold, response to light stimulus, very long-chain fatty acid biosynthetic process, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity, wax biosynthetic process","DEGs"
"AT5G04530","Chir06Ox-b34390.2","KCS19",0.6815,0.1315,NA,NA,"chloroplast, fatty acid biosynthetic process, response to cold, response to light stimulus, very-long-chain 3-ketoacyl-CoA synthase activity","DEGs"
"AT2G15090","Chir03Ox-b29260.2","KCS8",0.6905,0.104,NA,NA,"chloroplast, endoplasmic reticulum, fatty acid biosynthetic process, fatty acid elongation, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity","DEGs"
"AT1G24020","Chir01Ox-b23680.2","MLP423",0.7595,0.1795,NA,NA,"abscisic acid binding, abscisic acid-activated signaling pathway, chloroplast, cytosol, defense response, nucleus, protein phosphatase inhibitor activity, signaling receptor activity","DEGs"
"AT1G49430","Chir01Ox-b38370.2","LACS2",0.7115,0.117,NA,NA,"chloroplast, cutin biosynthetic process, defense response to fungus, endoplasmic reticulum, fatty acid biosynthetic process, fatty acid metabolic process, lateral root formation, long-chain fatty acid-CoA ligase activity, membrane, plasmodesma, very long-chain fatty acid-CoA ligase activity, wax biosynthetic process","DEGs"
"AT3G01860","Chir03Ox-b00230.2","F28J7.19",0.686,0.141,NA,NA,"molecular_function, nucleus","DEGs"
"AT5G45950","Chir06Ox-b02270.2","AT5G45950.1",0.7125,0.1175,NA,NA,"extracellular region, hydrolase activity, acting on ester bonds","DEGs"
