"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT3G10080","Chir03Ox-b09310.2","AT3G10080.1",2.43144893716011,0.335,0.002,0.559648176362521,12,0,0,NA,NA,"extracellular region, manganese ion binding","GEP_15"
"AT5G60490","Chir08Ox-b22940.2","AtFLA12",1.60206250167873,0.333,0.002,0.474133394697861,15,0,0,NA,NA,"extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis","GEP_15"
"AT5G55250","Chir08Ox-b17250.2","IAMT1",1.15676290851922,0.197,0.003,0.833680023199487,2,0,0,NA,NA,"auxin homeostasis, cellular_component, identical protein binding, indole acetic acid carboxyl methyltransferase activity, indole-3-acetate carboxyl methyltransferase activity, magnesium ion binding, methylation, polarity specification of adaxial/abaxial axis, S-adenosylmethionine-dependent methyltransferase activity","GEP_15"
"AT1G68810","Chir02Ox-b15170.2","T5L1",1.95477344304469,0.357,0.004,0.76710619593441,4,0,0,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription","GEP_15"
"AT1G72230","Chir02Ox-b18880.2","T9N14.17",1.25236134528343,0.289,0.004,0.573191601914283,9,0,0,NA,NA,"electron transfer activity, membrane","GEP_15"
"AT5G18930","Chir06Ox-b20230.2","BUD2",1.30023129514786,0.267,0.006,0.6761649926465,5,0,0,NA,NA,"adenosylmethionine decarboxylase activity, cytosol, nucleus, plant organ development, protein binding, spermidine biosynthetic process, spermine biosynthetic process","GEP_15"
"AT5G08370","Chir06Ox-b30590.2","AtAGAL2",1.26439866326012,0.257,0.01,0.319997458634627,21,0,0,NA,NA,"alpha-galactosidase activity, apoplast, carbohydrate metabolic process, leaf morphogenesis, plant-type cell wall, positive regulation of flower development, raffinose alpha-galactosidase activity, response to fungus, secretory vesicle","GEP_15"
"AT5G19530","Chir06Ox-b19550.2","AT5G19530.1",3.87076271811403,0.492,0.013,0.501516596118384,13,0,0,NA,NA,"auxin polar transport, cytoplasm, nucleus, phloem or xylem histogenesis, polyamine biosynthetic process, spermine synthase activity, thermospermine synthase activity, unidimensional cell growth, xylem vessel member cell differentiation","GEP_15"
"AT3G51030","Chir05Ox-b16370.2","ATTRX1",1.96336588442032,0.494,0.015,0.434475261186675,16,0,0,NA,NA,"cytoplasm, cytosol, enzyme activator activity, oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor, positive regulation of catalytic activity, protein binding, protein-disulfide reductase activity","GEP_15"
"AT3G25710","Chir05Ox-b02980.2","ATAIG1",2.00710606253123,0.452,0.04,0.231449761448113,28,0,0,"Yes","bHLH","anthocyanin-containing compound biosynthetic process, cellular response to phosphate starvation, DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development, root hair cell development","GEP_15"
