"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT1G62300","Chir02Ox-b03290.2","WRKY6",0.675,0.0835,"Yes","WRKY","cellular response to boron-containing substance deprivation, cellular response to phosphate starvation, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, protein binding, transcription cis-regulatory region binding","DEGs"
"AT4G37790","Chir07Ox-b35230.2","HAT22",0.7275,0.24,"Yes","HD-ZIP","abscisic acid-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, response to abscisic acid, response to cytokinin, response to water deprivation, transcription cis-regulatory region binding","DEGs"
"AT5G46350","Chir06Ox-b01800.2","WRKY8",0.2055,0.0155,"Yes","WRKY","cellular response to hydrogen peroxide, defense response to bacterium, defense response to fungus, defense response to virus, DNA-binding transcription factor activity, nucleus, positive regulation of response to salt stress, protein binding, regulation of DNA-templated transcription, response to abscisic acid, sequence-specific DNA binding","DEGs"
"AT3G46640","Chir05Ox-b11430.2","PCL1",0.529,0.189,"Yes","G2-like","circadian rhythm, DNA-binding transcription factor activity, nucleus, positive regulation of circadian rhythm, regulation of DNA-templated transcription, regulation of gene expression","DEGs"
"AT4G24060","Chir07Ox-b21070.2","Dof4.6",0.273,0.073,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"AT1G69570","Chir02Ox-b16020.2","CDF5",0.2465,0.066,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, negative regulation of long-day photoperiodism, flowering, negative regulation of short-day photoperiodism, flowering, nucleus, regulation of DNA-templated transcription","DEGs"
"AT5G45710","Chir06Ox-b02540.2","AT-HSFA4C",0.5915,0.2685,"Yes","HSF","cellular response to heat, DNA-binding transcription factor activity, fruit morphogenesis, lateral root development, nucleus, positive gravitropism, regulation of transcription by RNA polymerase II, response to auxin, response to heat, RNA polymerase II cis-regulatory region sequence-specific DNA binding, root development, transcription cis-regulatory region binding","DEGs"
"AT5G13080","Chir06Ox-b26410.2","WRKY75",0.1825,0.011,"Yes","WRKY","atrichoblast differentiation, DNA-binding transcription factor activity, lateral root development, negative regulation of transcription by RNA polymerase II, nucleus, protein binding, regulation of DNA-templated transcription in response to stress, regulation of response to nutrient levels, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"AT2G22760","Chir04Ox-b02160.2","AT2G22760.1",0.206,0.0445,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"AT5G60200","Chir08Ox-b22680.2","DOF5.3",0.1565,0.071,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","DEGs"
