"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT3G16330",0,1.20522072339779,0.201,0.008,0,0,1.06103588912994,0.303,0.032,0,0,0,"Chir03Ox-b16100.2",NA,NA,"MYA6.13","cellular_component, molecular_function, secondary metabolic process"
"AT5G66400",5.27083187109938e-63,2.21055617370908,0.121,0.016,9.67566606577713e-59,1.97954710823105e-160,1.00756505352891,0.151,0.022,3.63385462657973e-156,5.27083187109938e-63,3.95909421646216e-160,"Chir08Ox-b30170.2",NA,NA,"RAB18","cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation"
"AT1G29290",0,1.10890169374124,0.356,0.018,0,0,1.50855319134206,0.323,0.02,0,0,0,"Chir01Ox-b27850.2",NA,NA,"CEP14","apoplast, cellular response to nitrogen starvation, hormone activity, nitrate import, regulation of root development, response to carbon dioxide, response to osmotic stress"
"AT2G34810",0,1.22140332469741,0.484,0.019,0,4.50598229257525e-262,1.9896120901793,0.628,0.26,8.2716316944804e-258,4.50598229257525e-262,0,"Chir04Ox-b16990.2",NA,NA,"AT2G34810.1","cytoplasm, FAD binding, plant-type cell wall, response to jasmonic acid, response to wounding"
"AT4G15120",0,2.1807510753616,0.658,0.02,0,0,1.9404590576131,0.546,0.063,0,0,0,"Chir07Ox-b11440.2",NA,NA,"DL3605W","carboxylic acid metabolic process, defense response to bacterium, molecular_function, nucleus, organic acid biosynthetic process, response to abscisic acid, secondary metabolic process"
"AT1G65690",4.7659316234672e-229,1.05114181240204,0.281,0.024,8.74882068119873e-225,0,2.31014965441739,0.475,0.028,0,4.7659316234672e-229,0,"Chir02Ox-b11350.2",NA,NA,"NHL6","cytosol, molecular_function, plasma membrane, positive regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, response to salt"
"AT3G49120",0,2.0793927352016,0.726,0.065,0,0,1.84790582194841,0.471,0.084,0,0,0,"Chir05Ox-b14010.2",NA,NA,"ATPERX34","apoplast, cytosol, defense response, defense response to bacterium, defense response to fungus, extracellular region, Golgi apparatus, heme binding, pattern recognition receptor signaling pathway, peroxidase activity, plant-type cell wall, plant-type vacuole, reactive oxygen species metabolic process, response to light stimulus, response to oxidative stress, secretory vesicle, unidimensional cell growth"
"AT2G02230",8.82623589064237e-152,1.74805938909367,0.445,0.09,1.62023212244522e-147,1.62702522972315e-208,1.05830076408243,0.529,0.2,2.98673021420279e-204,8.82623589064237e-152,3.25405045944627e-208,"Chir05Ox-b01290.2",NA,NA,"AtPP2-B1","carbohydrate binding, cellular catabolic process, cellular lipid metabolic process, monocarboxylic acid metabolic process, nucleus, protein binding"
"AT1G59590",7.21686973161622e-157,1.06001734514037,0.477,0.098,1.32480077663279e-152,3.92977389446851e-177,1.18244451763724,0.645,0.308,7.21388593807584e-173,7.21686973161622e-157,7.85954778893696e-177,"Chir02Ox-b06850.2",NA,NA,"AT1G59590.1","cellular response to organic cyclic compound, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, mitochondrion, regulation of defense response, regulation of immune system process, response to abscisic acid, response to chitin, response to molecule of bacterial origin, response to osmotic stress, response to oxidative stress, response to salicylic acid, response to water deprivation, response to wounding"
"AT1G30135",0,2.13723833845626,0.728,0.126,0,2.03780463054119e-258,1.14338765367993,0.519,0.154,3.74079796028446e-254,2.03780463054119e-258,0,"Chir01Ox-b28420.2",NA,NA,"JAZ8","nucleus, protein binding, regulation of defense response, regulation of jasmonic acid mediated signaling pathway, response to wounding"
