"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT5G13080","AT5G13080","Chir06Ox-b26410.2","WRKY75",0.1825,0.011,"Yes","WRKY","atrichoblast differentiation, DNA-binding transcription factor activity, lateral root development, negative regulation of transcription by RNA polymerase II, nucleus, protein binding, regulation of DNA-templated transcription in response to stress, regulation of response to nutrient levels, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",1
"AT5G14000","AT5G14000","Chir06Ox-b25450.2","anac084",0.287,0.015,"Yes","NAC","carboxylic acid biosynthetic process, cellular catabolic process, cellular lipid metabolic process, DNA binding, DNA-binding transcription factor activity, lipid biosynthetic process, nucleus, organic cyclic compound catabolic process, organic hydroxy compound metabolic process, regulation of DNA-templated transcription, response to salt stress, secondary metabolic process, transcription cis-regulatory region binding","GEP_17",2
"AT5G46350","AT5G46350","Chir06Ox-b01800.2","WRKY8",0.2055,0.0155,"Yes","WRKY","cellular response to hydrogen peroxide, defense response to bacterium, defense response to fungus, defense response to virus, DNA-binding transcription factor activity, nucleus, positive regulation of response to salt stress, protein binding, regulation of DNA-templated transcription, response to abscisic acid, sequence-specific DNA binding","DEGs",3
"AT5G66400","AT5G66400","Chir08Ox-b30170.2","RAB18",0.136,0.019,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","DEGs",4
"AT1G29290","AT1G29290","Chir01Ox-b27850.2","CEP14",0.3395,0.019,NA,NA,"apoplast, cellular response to nitrogen starvation, hormone activity, nitrate import, regulation of root development, response to carbon dioxide, response to osmotic stress","DEGs",5
"AT3G16330","AT3G16330","Chir03Ox-b16100.2","MYA6.13",0.252,0.02,NA,NA,"cellular_component, molecular_function, secondary metabolic process","DEGs",6
"AT1G65690","AT1G65690","Chir02Ox-b11350.2","NHL6",0.378,0.026,NA,NA,"cytosol, molecular_function, plasma membrane, positive regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, response to salt","DEGs",7
"AT5G61160","AT5G61160","Chir08Ox-b23620.2","ACT",0.35,0.029,NA,NA,"agmatine N4-coumaroyltransferase activity, cytoplasm","GEP_17",8
"AT4G15120","AT4G15120","Chir07Ox-b11440.2","DL3605W",0.602,0.0415,NA,NA,"carboxylic acid metabolic process, defense response to bacterium, molecular_function, nucleus, organic acid biosynthetic process, response to abscisic acid, secondary metabolic process","DEGs",9
"AT1G66480","AT1G66480","Chir02Ox-b12400.2","F28G11.8",0.445,0.042,NA,NA,"molecular_function, response to fungus","GEP_17",10
"AT3G01970","AT3G01970","Chir03Ox-b00140.2","WRKY45",0.408,0.044,"Yes","WRKY","DNA-binding transcription factor activity, nucleus, phosphate ion transport, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding, transcription factor binding","GEP_17",11
"AT2G22760","AT2G22760","Chir04Ox-b02160.2","AT2G22760.1",0.206,0.0445,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",12
"AT5G63450","AT5G63450","Chir08Ox-b25990.2","CYP94B1",0.392,0.05,NA,NA,"chloroplast, heme binding, iron ion binding, jasmonic acid metabolic process, jasmonoyl-isoleucine-12-hydroxylase activity, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, protein binding, response to wounding","GEP_17",13
"AT1G28390","AT1G28390","Chir01Ox-b27150.2","F3M18.17",0.544,0.056,NA,NA,"defense response to bacterium, defense response to other organism, nucleus, phosphorylation, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity, response to fungus, response to inorganic substance, response to nitrogen compound, response to temperature stimulus, tissue development, transmembrane receptor protein tyrosine kinase activity","GEP_17",14
"AT2G01610","AT2G01610","Chir05Ox-b00600.2","T8O11.22",0.379,0.065,NA,NA,"enzyme inhibitor activity, extracellular region, negative regulation of catalytic activity","GEP_17",15
"AT3G62990","AT3G62990","Chir05Ox-b28600.2","T20O10.90",0.385,0.065,NA,NA,"catabolic process, molecular_function, monocarboxylic acid metabolic process, nucleus, response to abscisic acid, response to osmotic stress, response to water deprivation","GEP_17",16
"AT1G69570","AT1G69570","Chir02Ox-b16020.2","CDF5",0.2465,0.066,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, negative regulation of long-day photoperiodism, flowering, negative regulation of short-day photoperiodism, flowering, nucleus, regulation of DNA-templated transcription","DEGs",17
"AT4G28150","AT4G28150","Chir07Ox-b25330.2","F26K10.30",0.525,0.07,NA,NA,"cell differentiation, defense response to other organism, molecular_function, nucleus, response to water deprivation","GEP_17",18
"AT5G60200","AT5G60200","Chir08Ox-b22680.2","DOF5.3",0.1565,0.071,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","DEGs",19
"AT4G24060","AT4G24060","Chir07Ox-b21070.2","Dof4.6",0.273,0.073,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs",20
"AT3G49120","AT3G49120","Chir05Ox-b14010.2","ATPERX34",0.5985,0.0745,NA,NA,"apoplast, cytosol, defense response, defense response to bacterium, defense response to fungus, extracellular region, Golgi apparatus, heme binding, pattern recognition receptor signaling pathway, peroxidase activity, plant-type cell wall, plant-type vacuole, reactive oxygen species metabolic process, response to light stimulus, response to oxidative stress, secretory vesicle, unidimensional cell growth","DEGs",21
"AT3G02800","AT3G02800","Chir03Ox-b01930.2","PFA-DSP3",0.505,0.075,NA,NA,"cytoplasm, defense response to bacterium, hormone-mediated signaling pathway, immune system process, indole-containing compound metabolic process, nucleus, phosphatase activity, protein binding, protein dephosphorylation, protein tyrosine phosphatase activity, protein tyrosine/serine/threonine phosphatase activity, regulation of defense response, response to abscisic acid, response to chitin, response to fungus, response to inorganic substance, response to osmotic stress, response to salicylic acid, toxin metabolic process","GEP_17",22
"AT1G62300","AT1G62300","Chir02Ox-b03290.2","WRKY6",0.675,0.0835,"Yes","WRKY","cellular response to boron-containing substance deprivation, cellular response to phosphate starvation, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, protein binding, transcription cis-regulatory region binding","DEGs",23
"AT2G34810","AT2G34810","Chir04Ox-b16990.2","AT2G34810.1",0.556,0.1395,NA,NA,"cytoplasm, FAD binding, plant-type cell wall, response to jasmonic acid, response to wounding","DEGs",24
"AT1G30135","AT1G30135","Chir01Ox-b28420.2","JAZ8",0.6235,0.14,NA,NA,"nucleus, protein binding, regulation of defense response, regulation of jasmonic acid mediated signaling pathway, response to wounding","DEGs",25
"AT2G02230","AT2G02230","Chir05Ox-b01290.2","AtPP2-B1",0.487,0.145,NA,NA,"carbohydrate binding, cellular catabolic process, cellular lipid metabolic process, monocarboxylic acid metabolic process, nucleus, protein binding","DEGs",26
"AT3G46640","AT3G46640","Chir05Ox-b11430.2","PCL1",0.529,0.189,"Yes","G2-like","circadian rhythm, DNA-binding transcription factor activity, nucleus, positive regulation of circadian rhythm, regulation of DNA-templated transcription, regulation of gene expression","DEGs",27
"AT1G59590","AT1G59590","Chir02Ox-b06850.2","AT1G59590.1",0.561,0.203,NA,NA,"cellular response to organic cyclic compound, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, mitochondrion, regulation of defense response, regulation of immune system process, response to abscisic acid, response to chitin, response to molecule of bacterial origin, response to osmotic stress, response to oxidative stress, response to salicylic acid, response to water deprivation, response to wounding","DEGs",28
"AT4G37790","AT4G37790","Chir07Ox-b35230.2","HAT22",0.7275,0.24,"Yes","HD-ZIP","abscisic acid-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, response to abscisic acid, response to cytokinin, response to water deprivation, transcription cis-regulatory region binding","DEGs",29
"AT5G45710","AT5G45710","Chir06Ox-b02540.2","AT-HSFA4C",0.5915,0.2685,"Yes","HSF","cellular response to heat, DNA-binding transcription factor activity, fruit morphogenesis, lateral root development, nucleus, positive gravitropism, regulation of transcription by RNA polymerase II, response to auxin, response to heat, RNA polymerase II cis-regulatory region sequence-specific DNA binding, root development, transcription cis-regulatory region binding","DEGs",30
