"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT5G24780","Chir06Ox-b15020.2","ATVSP1",1.47655218781414,0.266,0.01,0.827055216280787,2,0,0,NA,NA,"acid phosphatase activity, chloroplast, defense response, dephosphorylation, plant-type vacuole, response to jasmonic acid, transcription factor binding","GEP_2"
"AT1G76640","Chir02Ox-b23770.2","CML39",1.1531261245252,0.266,0.028,0.637859584950906,5,0,0,NA,NA,"amino acid metabolic process, calcium ion binding, cellular response to hypoxia, cellular response to oxygen-containing compound, cytoplasm, defense response to other organism, indole-containing compound metabolic process, response to alcohol, response to jasmonic acid, response to oxidative stress, response to water deprivation, response to wounding","GEP_2"
"AT1G76790","Chir02Ox-b23900.2","IGMT5",1.22505715766383,0.31,0.029,0.490584355168217,14,0,0,NA,NA,"aromatic compound biosynthetic process, cytosol, indole glucosinolate biosynthetic process, methylation, O-methyltransferase activity, protein dimerization activity, S-adenosylmethionine-dependent methyltransferase activity","GEP_2"
"AT1G24070","Chir01Ox-b23720.2","ATCSLA10",1.15844855004056,0.457,0.036,0.519083246480959,11,0,0,NA,NA,"cellulose synthase activity, glucomannan 4-beta-mannosyltransferase activity, glycosyltransferase activity, Golgi apparatus, mannan synthase activity","GEP_2"
"AT3G16470","Chir03Ox-b16250.2","JAL35",1.80591227487023,0.553,0.06,0.502635022577266,12,0,0,NA,NA,"carbohydrate binding, chloroplast, cytoplasm, cytosol, nucleus, plant-type vacuole, plasmodesma, protein binding, response to jasmonic acid, response to wounding, vegetative to reproductive phase transition of meristem","GEP_2"
"AT1G14250","Chir01Ox-b14260.2","AT1G14250.1",1.52289185029026,0.398,0.077,0.560403245095369,8,0,0,NA,NA,"membrane, nucleoside diphosphate catabolic process, nucleoside diphosphate phosphatase activity, plant-type vacuole, plasma membrane","GEP_2"
"AT1G54020","Chir01Ox-b43090.2","AT1G54020.2",0.732757033074498,0.257,0.015,0.49981393741509,13,0,0,NA,NA,"amino acid metabolic process, carboxylic acid biosynthetic process, cytosol, extracellular region, hydrolase activity, acting on ester bonds, indole-containing compound biosynthetic process, isoprenoid metabolic process, plant-type vacuole, response to inorganic substance, response to jasmonic acid, response to wounding, sulfur compound biosynthetic process, vacuole","GEP_2"
"AT1G73325","Chir02Ox-b20100.2","AT1G73325.1",0.567498770752071,0.378,0.055,0.549744610773823,9,0,0,NA,NA,"alpha-amino acid metabolic process, defense response to other organism, extracellular region, flavonoid biosynthetic process, response to jasmonic acid, response to wounding","GEP_2"
"AT5G50335","Chir08Ox-b11550.2",NA,0.515976015517884,0.189,0.037,0.32546235691654,22,1.00313074136709e-306,1.84144710192757e-302,NA,NA,"molecular_function, nucleus, response to auxin","GEP_2"
"AT4G03420","Chir08Ox-b03660.2","F9H3.4",0.355882217099536,0.319,0.095,0.247504386355961,27,3.27555563914791e-303,6.01293748678383e-299,NA,NA,"amino acid metabolic process, defense response to other organism, jasmonic acid mediated signaling pathway, molecular_function, monocarboxylic acid biosynthetic process, nucleus, response to light intensity, response to wounding","GEP_2"
