"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT4G15610","Chir07Ox-b12060.2","CASPL1D1",0.295,0.041,NA,NA,"4 iron, 4 sulfur cluster binding, carboxylic acid metabolic process, cellular catabolic process, cellular response to abscisic acid stimulus, defense response to bacterium, defense response to fungus, endosome, Golgi apparatus, hormone-mediated signaling pathway, leaf senescence, plasma membrane, response to hypoxia, response to inorganic substance, response to oxidative stress, response to salicylic acid, systemic acquired resistance, toxin metabolic process, trans-Golgi network","DEGs"
"AT5G20250","Chir06Ox-b18770.2","RS6",0.696,0.336,NA,NA,"cellular response to hypoxia, chloroplast, cytoplasm, cytosol, galactinol-sucrose galactosyltransferase activity, mRNA binding, plasmodesma, response to cold, response to oxidative stress","DEGs"
"AT2G15960","Chir03Ox-b30010.2","F19G14.4",0.832,0.4815,NA,NA,"carboxylic acid metabolic process, cellular catabolic process, cellular_component, molecular_function, organic substance catabolic process, protein-containing complex assembly, response to light intensity, response to organonitrogen compound, response to temperature stimulus","DEGs"
"AT2G19800","Chir03Ox-b34380.2","MIOX2",0.2215,0.0415,NA,NA,"cytoplasm, inositol catabolic process, inositol oxygenase activity, iron ion binding, syncytium formation","DEGs"
"AT3G47380","Chir05Ox-b12230.2","AtPMEI11",0.2645,0.0495,NA,NA,"apoplast, enzyme inhibitor activity, extracellular region, negative regulation of catalytic activity, pectinesterase inhibitor activity, plant-type cell wall organization or biogenesis","DEGs"
"AT3G14060","Chir03Ox-b13570.2","MDC16.20",0.303,0.066,NA,NA,"cytoplasm, defense response to bacterium, defense response to fungus, leaf senescence, mitochondrion, molecular_function, plant-type cell wall, response to salicylic acid","DEGs"
"AT3G50900","Chir05Ox-b16270.2","F18B3.180",0.2255,0.0545,NA,NA,"defense response to bacterium, mitochondrion, molecular_function, response to fungus, response to jasmonic acid, secondary metabolic process","DEGs"
"AT1G72060","Chir02Ox-b18630.2","F28P5.12",0.24,0.048,NA,NA,"extracellular region, response to oxidative stress, serine-type endopeptidase inhibitor activity","DEGs"
"AT4G21920","Chir07Ox-b18580.2","F1N20.1",0.223,0.0295,NA,NA,"alpha-amino acid metabolic process, cellular response to oxygen-containing compound, defense response to fungus, molecular_function, nucleus, organic acid biosynthetic process, response to inorganic substance, response to jasmonic acid, response to light stimulus, response to organic cyclic compound, response to wounding, signal transduction","DEGs"
"AT3G21780","Chir03Ox-b21950.2","AT3G21780.1",0.2325,0.0425,NA,NA,"abscisic acid catabolic process, abscisic acid glucosyltransferase activity, chloroplast, glycosyltransferase activity, response to abscisic acid, response to osmotic stress, response to salt stress, UDP-glycosyltransferase activity","DEGs"
