"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT4G21920","AT4G21920","Chir07Ox-b18580.2","F1N20.1",0.223,0.0295,NA,NA,"alpha-amino acid metabolic process, cellular response to oxygen-containing compound, defense response to fungus, molecular_function, nucleus, organic acid biosynthetic process, response to inorganic substance, response to jasmonic acid, response to light stimulus, response to organic cyclic compound, response to wounding, signal transduction","DEGs",1
"AT4G15610","AT4G15610","Chir07Ox-b12060.2","CASPL1D1",0.295,0.041,NA,NA,"4 iron, 4 sulfur cluster binding, carboxylic acid metabolic process, cellular catabolic process, cellular response to abscisic acid stimulus, defense response to bacterium, defense response to fungus, endosome, Golgi apparatus, hormone-mediated signaling pathway, leaf senescence, plasma membrane, response to hypoxia, response to inorganic substance, response to oxidative stress, response to salicylic acid, systemic acquired resistance, toxin metabolic process, trans-Golgi network","DEGs",2
"AT2G19800","AT2G19800","Chir03Ox-b34380.2","MIOX2",0.2215,0.0415,NA,NA,"cytoplasm, inositol catabolic process, inositol oxygenase activity, iron ion binding, syncytium formation","DEGs",3
"AT3G21780","AT3G21780","Chir03Ox-b21950.2","AT3G21780.1",0.2325,0.0425,NA,NA,"abscisic acid catabolic process, abscisic acid glucosyltransferase activity, chloroplast, glycosyltransferase activity, response to abscisic acid, response to osmotic stress, response to salt stress, UDP-glycosyltransferase activity","DEGs",4
"AT1G72060","AT1G72060","Chir02Ox-b18630.2","F28P5.12",0.24,0.048,NA,NA,"extracellular region, response to oxidative stress, serine-type endopeptidase inhibitor activity","DEGs",5
"AT3G47380","AT3G47380","Chir05Ox-b12230.2","AtPMEI11",0.2645,0.0495,NA,NA,"apoplast, enzyme inhibitor activity, extracellular region, negative regulation of catalytic activity, pectinesterase inhibitor activity, plant-type cell wall organization or biogenesis","DEGs",6
"AT3G50900","AT3G50900","Chir05Ox-b16270.2","F18B3.180",0.2255,0.0545,NA,NA,"defense response to bacterium, mitochondrion, molecular_function, response to fungus, response to jasmonic acid, secondary metabolic process","DEGs",7
"AT1G35140","AT1G35140","Chir07Ox-b02620.2","PHI-1",0.186,0.06,NA,NA,"cellular response to hypoxia, extracellular region, Golgi apparatus, molecular_function, plant-type cell wall, response to hypoxia","GEP_35",8
"AT1G69570","AT1G69570","Chir02Ox-b16020.2","CDF5",0.2535,0.063,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, negative regulation of long-day photoperiodism, flowering, negative regulation of short-day photoperiodism, flowering, nucleus, regulation of DNA-templated transcription","DEGs",9
"AT3G14060","AT3G14060","Chir03Ox-b13570.2","MDC16.20",0.303,0.066,NA,NA,"cytoplasm, defense response to bacterium, defense response to fungus, leaf senescence, mitochondrion, molecular_function, plant-type cell wall, response to salicylic acid","DEGs",10
"AT2G17040","AT2G17040","Chir03Ox-b31220.2","anac036",0.2475,0.068,"Yes","NAC","DNA binding, DNA-binding transcription factor activity, inflorescence morphogenesis, leaf morphogenesis, negative regulation of cell size, nucleus, regulation of DNA-templated transcription","DEGs",11
"AT1G64380","AT1G64380","Chir02Ox-b00470.2","AT1G64380.1",0.2815,0.078,"Yes","ERF","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs",12
"AT3G11260","AT3G11260","Chir03Ox-b10550.2","WOX5B",0.2605,0.0795,"Yes","WOX","DNA-binding transcription factor activity, maintenance of root meristem identity, nucleus, positive regulation of stem cell population maintenance, protein binding, response to auxin, sequence-specific DNA binding","DEGs",13
"AT3G15500","AT3G15500","Chir03Ox-b15220.2","ATNAC3",0.3525,0.099,"Yes","NAC","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, protein binding, regulation of DNA-templated transcription, response to water deprivation","DEGs",14
"AT2G40100","AT2G40100","Chir04Ox-b22740.2","LHCB4.3",0.202,0.144,NA,NA,"chlorophyll binding, chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, Golgi apparatus, photosynthesis, light harvesting, photosynthesis, light harvesting in photosystem I, response to light stimulus, thylakoid","GEP_35",15
"AT4G36850","AT4G36850","Chir07Ox-b34280.2","AP22.27",0.251,0.144,NA,NA,"carbohydrate derivative metabolic process, carboxylic acid metabolic process, cellular catabolic process, cellular lipid metabolic process, defense response to other organism, lipid biosynthetic process, molecular_function, organonitrogen compound catabolic process, phosphate ion homeostasis, porphyrin-containing compound metabolic process, response to bacterium, response to light stimulus, response to wounding, seed development","GEP_35",16
"AT5G59540","AT5G59540","Chir08Ox-b21880.2","F2O15.6",0.432,0.159,NA,NA,"cytoplasm, defense response to bacterium, defense response to fungus, ethylene-activated signaling pathway, molecular_function, negative regulation of signal transduction, oxoacid metabolic process, regulation of defense response, response to abscisic acid, response to inorganic substance, response to osmotic stress","GEP_35",17
"AT1G30260","AT1G30260","Chir01Ox-b28790.2","AT1G30260.1",0.297,0.163,NA,NA,"mitochondrion, response to cytokinin","GEP_35",18
