"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT1G04110","Chir01Ox-b03210.2","AtSDD1",0.282,0.0095,NA,NA,"external side of plasma membrane, extracellular region, regulation of cell population proliferation, serine-type endopeptidase activity, stomatal complex morphogenesis","DEGs"
"AT2G20875","Chir03Ox-b35560.2","EPF1",0.598,0.0035,NA,NA,"extracellular region, guard cell differentiation, molecular_function, negative regulation of stomatal complex development, stomatal complex development, stomatal complex patterning","DEGs"
"AT1G26600","Chir01Ox-b24670.2","AT1G26600.1",0.5715,0.0095,NA,NA,"apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, regulation of cell differentiation","DEGs"
"AT3G06778","Chir03Ox-b06360.2",NA,0.5255,0.0075,NA,NA,"biological_process, cellular_component, molecular_function","DEGs"
"AT5G23400","Chir06Ox-b16320.2","K19M13.1",0.126,0.0345,NA,NA,"extracellular region, molecular_function, plant-type cell wall, plasmodesma, signal transduction","DEGs"
"AT3G20860","Chir03Ox-b20920.2","ATNEK5",0.592,0.0505,NA,NA,"cortical microtubule organization, lateral root formation, negative regulation of ethylene biosynthetic process, nucleus, protein phosphorylation, protein serine/threonine kinase activity","DEGs"
"AT5G66440","Chir08Ox-b30160.2","K1F13.9",0.514,0.0205,NA,NA,"defense response to other organism, molecular_function, nucleus, regulation of developmental process, response to fungus","DEGs"
"AT1G53060","Chir01Ox-b41920.2","AT1G53060.1",0.638,0.1575,NA,NA,"nucleus, response to inorganic substance, root development, tetrapyrrole metabolic process","DEGs"
"AT3G26960","Chir05Ox-b04350.2","MOJ10.4",0.304,0.016,NA,NA,"extracellular region, molecular_function, pattern specification process, response to light stimulus, shoot system development","DEGs"
"AT1G71050","Chir02Ox-b17620.2","HIPP20",0.274,0.018,NA,NA,"cadmium ion homeostasis, cytoplasm, detoxification of cadmium ion, molecular_function","DEGs"
