"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT2G21140","AT2G21140","Chir04Ox-b00240.2","ATPRP2",0.334,0.002,NA,NA,"cell differentiation, plant-type cell wall, plant-type cell wall organization","GEP_46 and DEGs",1
"AT3G55500","AT3G55500","Chir05Ox-b21110.2","ATEXPA16",0.23,0.002,NA,NA,"extracellular region, plant-type cell wall loosening, plant-type cell wall organization, syncytium formation, unidimensional cell growth","GEP_46 and DEGs",2
"AT3G06120","AT3G06120","Chir03Ox-b05620.2","MUTE",0.322,0.0025,"Yes","bHLH","DNA-binding transcription factor activity, epidermal cell differentiation, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein dimerization activity, stomatal complex development, transcription cis-regulatory region binding","DEGs",3
"AT2G20875","AT2G20875","Chir03Ox-b35560.2","EPF1",0.598,0.0035,NA,NA,"extracellular region, guard cell differentiation, molecular_function, negative regulation of stomatal complex development, stomatal complex development, stomatal complex patterning","DEGs",4
"AT1G08810","AT1G08810","Chir01Ox-b08370.2","AtMYB60",0.561,0.004,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of response to water deprivation, nucleus, response to abscisic acid, response to absence of light, response to auxin, response to blue light, response to cold, response to light stimulus, response to salt, response to sucrose, response to UV, response to water deprivation, stomatal movement, transcription cis-regulatory region binding","GEP_46 and DEGs",5
"AT3G06778","AT3G06778","Chir03Ox-b06360.2",NA,0.5255,0.0075,NA,NA,"biological_process, cellular_component, molecular_function","DEGs",6
"AT1G26600","AT1G26600","Chir01Ox-b24670.2","AT1G26600.1",0.5715,0.0095,NA,NA,"apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, regulation of cell differentiation","DEGs",7
"AT1G04110","AT1G04110","Chir01Ox-b03210.2","AtSDD1",0.282,0.0095,NA,NA,"external side of plasma membrane, extracellular region, regulation of cell population proliferation, serine-type endopeptidase activity, stomatal complex morphogenesis","DEGs",8
"AT3G57600","AT3G57600","Chir05Ox-b23410.2","F15B8.210",0.2335,0.01,"Yes","ERF","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, response to stress, transcription cis-regulatory region binding","DEGs",9
"AT3G24140","AT3G24140","Chir03Ox-b24280.2","FMA",0.5265,0.0105,"Yes","bHLH","DNA-binding transcription factor activity, guard cell differentiation, guard cell fate commitment, guard mother cell differentiation, negative regulation of cell division, negative regulation of histone H3-K27 methylation, nucleus, positive regulation of cell differentiation, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, response to low humidity, stomatal complex development","DEGs",10
