"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT2G21140","Chir04Ox-b00240.2","ATPRP2",1.32728181357493,0.334,0.002,0.856324694943208,2,0,0,NA,NA,"cell differentiation, plant-type cell wall, plant-type cell wall organization","GEP_46"
"AT3G55500","Chir05Ox-b21110.2","ATEXPA16",1.68420034345723,0.23,0.002,0.661171594994291,6,0,0,NA,NA,"extracellular region, plant-type cell wall loosening, plant-type cell wall organization, syncytium formation, unidimensional cell growth","GEP_46"
"AT1G08810","Chir01Ox-b08370.2","AtMYB60",1.64678378357712,0.561,0.004,0.521446278510692,9,0,0,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of response to water deprivation, nucleus, response to abscisic acid, response to absence of light, response to auxin, response to blue light, response to cold, response to light stimulus, response to salt, response to sucrose, response to UV, response to water deprivation, stomatal movement, transcription cis-regulatory region binding","GEP_46"
"AT1G16960","Chir01Ox-b17020.2","F17F16.18",1.30010001354618,0.542,0.011,0.225524229304533,27,0,0,NA,NA,"biological_process, cytoplasm, molecular_function","GEP_46"
"AT1G10060","Chir01Ox-b09770.2","ATBCAT-1",1.42723861234796,0.436,0.012,0.402661805033597,18,0,0,NA,NA,"branched-chain-amino-acid transaminase activity, carboxylic acid biosynthetic process, chloroplast, cytoplasm, L-isoleucine transaminase activity, L-leucine transaminase activity, L-valine transaminase activity, leucine catabolic process, mitochondrion, organonitrogen compound catabolic process, protein binding, response to light stimulus, valine catabolic process","GEP_46"
"AT5G66400","Chir08Ox-b30170.2","RAB18",2.46030347490343,0.171,0.02,0.460063590503421,15,3.22576945932226e-151,5.92154499647787e-147,NA,NA,"cold acclimation, cytosol, molecular_function, response to 1-aminocyclopropane-1-carboxylic acid, response to abscisic acid, response to water deprivation","GEP_46"
"AT4G02940","Chir08Ox-b03180.2","ALKBH10B",1.3042196552643,0.384,0.024,0.293857351398602,22,0,0,NA,NA,"demethylase activity, mRNA binding, mRNA catabolic process, mRNA N6-methyladenosine dioxygenase activity, oxidative RNA demethylation, vegetative to reproductive phase transition of meristem","GEP_46"
"AT3G50900","Chir05Ox-b16270.2","F18B3.180",1.56378997621486,0.421,0.058,0.166270051655307,42,0,0,NA,NA,"defense response to bacterium, mitochondrion, molecular_function, response to fungus, response to jasmonic acid, secondary metabolic process","GEP_46"
"AT2G47485","Chir04Ox-b30440.2","AT2G47485.1",1.7437637099798,0.616,0.062,0.196817230406777,35,0,0,NA,NA,"inorganic ion homeostasis, mitochondrion, monocarboxylic acid metabolic process","GEP_46"
"AT4G18280","Chir07Ox-b15170.2","GRPL1",4.1956336195329,0.573,0.063,0.313967809355006,21,0,0,NA,NA,"cellular_component, molecular_function, response to stress","GEP_46"
