"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT5G03170","Chir06Ox-b35840.2","ATFLA11",0.2805,0.0015,NA,NA,"extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis, response to mechanical stimulus, secondary cell wall","DEGs"
"AT1G01900","Chir01Ox-b00330.2","ATSBT1.1",0.2135,0.004,NA,NA,"apoplast, extracellular matrix, extracellular region, plant-type cell wall, proteolysis, serine-type endopeptidase activity","DEGs"
"AT3G18280","Chir03Ox-b18100.2","AtTED4",0.5055,0.08,NA,NA,"extracellular region, lipid transport, mitochondrion","DEGs"
"AT3G62100","Chir05Ox-b27800.2","AT3G62100.1",0.3745,0.0435,NA,NA,"DNA-binding transcription factor activity, gravitropism, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, somatic embryogenesis, transcription cis-regulatory region binding","DEGs"
"AT2G13820","Chir03Ox-b28030.2","AtXYP2",0.4745,0.023,NA,NA,"extracellular region, lipid binding, lipid transport, plasma membrane, xylem development","DEGs"
"AT2G28410","Chir04Ox-b09930.2","T1B3.7",0.315,0.025,NA,NA,"cell differentiation, membrane, meristem development, molecular_function","DEGs"
"AT1G28400","Chir01Ox-b27170.2","F3M18.16",0.4265,0.045,NA,NA,"biological_process, cellular_component, molecular_function","DEGs"
"AT3G56240","Chir05Ox-b21880.2","AT3G56240.2",0.2505,0.0365,NA,NA,"aging, cellular copper ion homeostasis, chloroplast, copper chaperone activity, cytoplasm, cytosol, metal ion binding, response to cadmium ion, response to reactive oxygen species","DEGs"
"AT5G66920","Chir08Ox-b29460.2","sks17",0.5585,0.1895,NA,NA,"copper ion binding, extracellular region, oxidoreductase activity, plant-type cell wall","DEGs"
"AT1G75500","Chir02Ox-b22440.2","UMAMIT5",0.497,0.094,NA,NA,"auxin export across the plasma membrane, mitochondrion, plant-type secondary cell wall biogenesis, plant-type vacuole, plant-type vacuole membrane, plasma membrane, positive regulation of auxin metabolic process, positive regulation of tryptophan metabolic process, transmembrane transporter activity, unidimensional cell growth","DEGs"
