"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT5G03170",0,2.08932327259578,0.368,0.001,0,0,1.63433945972836,0.193,0.002,0,0,0,"Chir06Ox-b35840.2",NA,NA,"ATFLA11","extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis, response to mechanical stimulus, secondary cell wall"
"AT1G01900",0,1.03397811647033,0.22,0.005,0,0,1.00371196885453,0.207,0.003,0,0,0,"Chir01Ox-b00330.2",NA,NA,"ATSBT1.1","apoplast, extracellular matrix, extracellular region, plant-type cell wall, proteolysis, serine-type endopeptidase activity"
"AT3G18280",0,2.70543261620368,0.52,0.01,0,4.88720579553862e-72,3.61018714002404,0.491,0.15,8.97144367887024e-68,4.88720579553862e-72,0,"Chir03Ox-b18100.2",NA,NA,"AtTED4","extracellular region, lipid transport, mitochondrion"
"AT3G62100",0,1.80589373200736,0.404,0.014,0,1.68236744481538e-70,1.53145273693019,0.345,0.073,3.0883219184476e-66,1.68236744481538e-70,0,"Chir05Ox-b27800.2",NA,NA,"AT3G62100.1","DNA-binding transcription factor activity, gravitropism, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, somatic embryogenesis, transcription cis-regulatory region binding"
"AT2G13820",0,2.06294976136139,0.484,0.016,0,0,2.78117187268631,0.465,0.03,0,0,0,"Chir03Ox-b28030.2",NA,NA,"AtXYP2","extracellular region, lipid binding, lipid transport, plasma membrane, xylem development"
"AT2G28410",0,2.51031903188209,0.43,0.016,0,6.68771947220825e-51,1.31973712475577,0.2,0.034,1.22766466351327e-46,6.68771947220825e-51,0,"Chir04Ox-b09930.2",NA,NA,"T1B3.7","cell differentiation, membrane, meristem development, molecular_function"
"AT1G28400",2.54874303528504e-276,1.11981551684778,0.377,0.02,4.67872758987275e-272,1.30584107297329e-160,2.64638872881346,0.476,0.07,2.39713245765707e-156,1.30584107297329e-160,5.09748607056956e-276,"Chir01Ox-b27170.2",NA,NA,"F3M18.16","biological_process, cellular_component, molecular_function"
"AT3G56240",5.88309697421537e-221,2.98066629460396,0.377,0.026,1.07996011155672e-216,6.93662436626739e-10,2.05026546643745,0.124,0.047,1.27335613491571e-05,6.93662436626739e-10,1.17661939484306e-220,"Chir05Ox-b21880.2",NA,NA,"AT3G56240.2","aging, cellular copper ion homeostasis, chloroplast, copper chaperone activity, cytoplasm, cytosol, metal ion binding, response to cadmium ion, response to reactive oxygen species"
"AT5G66920",5.04645091636197e-288,1.08273875854646,0.462,0.03,9.26376994716567e-284,7.10704110175758e-47,1.31942178663605,0.655,0.349,1.30463953504964e-42,7.10704110175758e-47,1.00929018327234e-287,"Chir08Ox-b29460.2",NA,NA,"sks17","copper ion binding, extracellular region, oxidoreductase activity, plant-type cell wall"
"AT1G75500",5.39508145165038e-138,3.42952479885683,0.525,0.082,9.9037510207946e-134,4.71745063516517e-95,2.93836754818007,0.469,0.106,8.6598241309727e-91,4.71745063516517e-95,1.07901629033008e-137,"Chir02Ox-b22440.2",NA,NA,"UMAMIT5","auxin export across the plasma membrane, mitochondrion, plant-type secondary cell wall biogenesis, plant-type vacuole, plant-type vacuole membrane, plasma membrane, positive regulation of auxin metabolic process, positive regulation of tryptophan metabolic process, transmembrane transporter activity, unidimensional cell growth"
