"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT4G36160","Chir07Ox-b33690.2","ANAC076",0.4,0.0205,"Yes","NAC","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","DEGs"
"AT4G32880","Chir07Ox-b30200.2","ATHB-8",0.4195,0.0235,"Yes","HD-ZIP","DNA-binding transcription factor activity, lipid binding, meristem initiation, nucleus, positive regulation of cell differentiation, positive regulation of cell population proliferation, primary shoot apical meristem specification, procambium histogenesis, response to auxin, transcription cis-regulatory region binding, xylem development","DEGs"
"AT2G41130","Chir04Ox-b23870.2","STC8",0.5555,0.053,"Yes","bHLH","chloroplast envelope, DNA-binding transcription factor activity, hyperosmotic salinity response, nucleus, protein dimerization activity, regulation of DNA-templated transcription","DEGs"
"AT1G69580","Chir02Ox-b16030.2","AT1G69580.1",0.3275,0.043,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"AT4G24060","Chir07Ox-b21070.2","Dof4.6",0.3995,0.0755,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"AT4G37650","Chir07Ox-b35070.2","SHR",0.2735,0.03,"Yes","GRAS","amyloplast organization, asymmetric cell division, DNA-binding transcription factor activity, iron ion homeostasis, leaf development, negative gravitropism, negative regulation of mitotic cell cycle, nucleus, protein binding, radial pattern formation, regulation of DNA-templated transcription, regulation of hormone metabolic process, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs"
"AT1G66230","Chir02Ox-b12090.2","MYB20",0.247,0.0655,"Yes","MYB","cell differentiation, cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, L-phenylalanine biosynthetic process, negative regulation of DNA-templated transcription, nucleus, positive regulation of DNA-templated transcription, positive regulation of response to salt stress, regulation of lignin biosynthetic process, regulation of phenylpropanoid metabolic process, regulation of secondary cell wall biogenesis, transcription cis-regulatory region binding","DEGs"
"AT2G18060","Chir03Ox-b32580.2","VND1",0.2145,0.0055,"Yes","NAC","callus formation, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","DEGs"
"AT1G61660","Chir02Ox-b04110.2","AtbHLH112",0.2335,0.029,"Yes","bHLH","cellular response to abscisic acid stimulus, cellular response to salt stress, cellular response to water deprivation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of proline metabolic process, regulation of reactive oxygen species metabolic process, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding","DEGs"
"AT2G31280","Chir04Ox-b13120.2","LHL2",0.2175,0.0295,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development","DEGs"
