"gene_ID","CH_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"AT1G58270","Chir07Ox-b03220.2","AT1G58270.1",1.27399001987253,0.265,0.028,0.517761236353309,2,0,0,NA,NA,"carbohydrate derivative metabolic process, cell differentiation, cellular lipid metabolic process, defense response to other organism, developmental growth, lipid biosynthetic process, monocarboxylic acid metabolic process, nucleus, organic acid biosynthetic process, plant epidermis development, plant-type cell wall biogenesis, plasmodesma, response to alcohol, response to organonitrogen compound, response to water deprivation, response to wounding, root morphogenesis","GEP_43"
"AT5G55620","Chir08Ox-b17580.2","MDF20.6",1.1215841763932,0.317,0.032,0.426101415507358,5,0,0,NA,NA,"cell differentiation, cellular_component, molecular_function, phyllome development, plant organ morphogenesis, response to light stimulus, vitamin metabolic process","GEP_43"
"AT5G15310","Chir06Ox-b24060.2","ATMYB16",1.01843253162797,0.501,0.063,0.324562950120662,9,0,0,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_43"
"AT3G51600","Chir05Ox-b16920.2","AT3G51600.1",2.10035662978193,0.38,0.074,0.22800636476595,17,0,0,NA,NA,"cytosol, extracellular region, lipid transport, lipid transporter activity, plant-type cell wall, plasmodesma","GEP_43"
"AT5G20270","Chir06Ox-b18750.2","AT5G20270.1",0.979230724845188,0.584,0.09,0.120355185644433,54,0,0,NA,NA,"negative regulation of abscisic acid-activated signaling pathway, nucleus, response to hormone, response to salt stress, response to sucrose, signaling receptor activity","GEP_43"
"AT1G64670","Chir02Ox-b00160.2","CED1",0.951935911662826,0.606,0.094,0.131076475061928,51,0,0,NA,NA,"chloroplast, cuticle development, cutin biosynthetic process, cytoplasm, defense response to fungus, lateral root development, nucleus, plant-type cell wall, positive regulation of cutin biosynthetic process, positive regulation of response to water deprivation, regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, suberin biosynthetic process, transpiration","GEP_43"
"AT4G14550","Chir07Ox-b10470.2","SLR",0.939350048300599,0.367,0.05,0.229376601603972,16,0,0,NA,NA,"DNA-binding transcription factor activity, lateral root morphogenesis, negative regulation of DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, transcription cis-regulatory region binding","GEP_43"
"AT3G23050","Chir03Ox-b23080.2","AXR2",0.907243368442966,0.276,0.028,0.262338680618391,14,0,0,NA,NA,"DNA-binding transcription factor activity, gravitropism, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, response to jasmonic acid, response to water deprivation, response to wounding, transcription cis-regulatory region binding","GEP_43"
"AT5G14410","Chir06Ox-b24990.2","F18O22.200",0.899416736192215,0.53,0.086,0.164604148123872,33,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_43"
"AT4G34250","Chir07Ox-b31740.2","AT4G34250.1",0.862276245748196,0.436,0.054,0.315766174321322,10,0,0,NA,NA,"cytoplasm, fatty acid biosynthetic process, fatty acid elongation, response to light stimulus, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity","GEP_43"
