"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT4G31805","Chir07Ox-b29090.2","AT4G31805.1",0.606,0.12,NA,NA,"asymmetric cell division, cell periphery, cytoplasm, nucleus, protein binding","DEGs"
"AT3G12870","Chir03Ox-b12040.2","MJM20.1",0.3235,0.0625,NA,NA,"lipid biosynthetic process, mitochondrion, molecular_function, negative regulation of cellular process, organic hydroxy compound biosynthetic process, plasmodesma","DEGs"
"AT4G15830","Chir07Ox-b12350.2","DL3955C",0.439,0.102,NA,NA,"cytoplasmic microtubule, microtubule binding, microtubule cytoskeleton organization","DEGs"
"AT2G25060","Chir04Ox-b05690.2","AtENODL14",0.486,0.1255,NA,NA,"electron transfer activity, extracellular region, membrane, plasma membrane, plasmodesma, secretory vesicle, vacuole","DEGs"
"AT1G76540","Chir02Ox-b23650.2","CDKB2;1",0.501,0.1455,NA,NA,"cyclin binding, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase activity, cytoplasm, G1/S transition of mitotic cell cycle, G2/M transition of mitotic cell cycle, hormone-mediated signaling pathway, nucleus, protein binding, protein phosphorylation, regulation of G2/M transition of mitotic cell cycle, regulation of gene expression, regulation of meristem structural organization, RNA polymerase II CTD heptapeptide repeat kinase activity, signal transduction","DEGs"
"AT5G51600","Chir08Ox-b13230.2","PLE",0.585,0.1695,NA,NA,"cortical microtubule, cytokinesis by cell plate formation, cytoplasm, formation of syncytium involving giant cell for nutrient acquisition, microtubule, microtubule binding, microtubule cytoskeleton organization, microtubule polymerization, nuclear division, phragmoplast, preprophase band, response to nematode, spindle","DEGs"
"AT5G11160","Chir06Ox-b28110.2","APT5",0.6625,0.1005,NA,NA,"adenine phosphoribosyltransferase activity, adenine salvage, AMP salvage, carboxylic acid metabolic process, cellular lipid metabolic process, cytoplasm, cytosol, flower development, growth, lipid biosynthetic process, meristem maintenance, phyllome development, small molecule metabolic process","DEGs"
"AT5G04530","Chir06Ox-b34390.2","KCS19",0.6515,0.15,NA,NA,"chloroplast, fatty acid biosynthetic process, response to cold, response to light stimulus, very-long-chain 3-ketoacyl-CoA synthase activity","DEGs"
"AT5G17160","Chir06Ox-b22210.2","F2K13.310",0.5565,0.154,NA,NA,"biological_process, molecular_function, nucleus","DEGs"
"AT5G67270","Chir08Ox-b29030.2","ATEB1C",0.584,0.1635,NA,NA,"cortical cytoskeleton organization, cytoplasm, cytoplasmic microtubule, microtubule binding, microtubule organizing center, microtubule plus-end, microtubule plus-end binding, nucleolus, nucleus, phragmoplast, plant-type cell wall, regulation of microtubule polymerization or depolymerization, spindle, spindle assembly, spindle midzone, thigmotropism","DEGs"
