"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT2G40670","AT2G40670","Chir04Ox-b23440.2","ARR16",0.301,0.021,NA,NA,"cytokinin-activated signaling pathway, cytoplasm, phosphorelay response regulator activity, protein binding, regulation of DNA-templated transcription, response to cytokinin","GEP_11 and DEGs",1
"AT1G34245","AT1G34245","Chir01Ox-b32760.2","AT1G34245.1",0.463,0.023,NA,NA,"extracellular region, guard cell differentiation, negative regulation of stomatal complex development, plant epidermis morphogenesis, protein kinase binding, stomatal complex development","GEP_11 and DEGs",2
"AT5G10890","AT5G10890","Chir06Ox-b28370.2","T30N20.160",0.525,0.029,NA,NA,"asymmetric cell division, molecular_function, nucleus","GEP_11 and DEGs",3
"AT5G60880","AT5G60880","Chir08Ox-b23340.2","BASL",0.722,0.029,NA,NA,"asymmetric cell division, cell cortex, cell periphery, nucleus, plasma membrane, protein binding, regulation of asymmetric cell division, stomatal complex development, unidimensional cell growth","GEP_11 and DEGs",4
"AT5G53210","AT5G53210","Chir08Ox-b14990.2","SPCH",0.682,0.043,"Yes","bHLH","cytoplasm, DNA-binding transcription activator activity, DNA-binding transcription factor activity, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of response to osmotic stress, regulation of stomatal complex development, response to low humidity, response to osmotic stress, stomatal complex development","GEP_11 and DEGs",5
"AT3G62070","AT3G62070","Chir05Ox-b27770.2","T17J13.30",0.59,0.044,NA,NA,"cellular_component, defense response to other organism, meristem initiation, molecular_function, response to jasmonic acid, response to red or far red light","GEP_11 and DEGs",6
"AT1G65620","AT1G65620","Chir02Ox-b11260.2","AT1G65620.1",0.2345,0.045,"Yes","LBD","adaxial/abaxial axis specification, nucleoplasm, nucleus, petal development, polarity specification of adaxial/abaxial axis, protein binding, proximal/distal pattern formation, specification of symmetry","DEGs",7
"AT2G02450","AT2G02450","Chir05Ox-b01380.2","ANAC034",0.504,0.047,"Yes","NAC","developmental growth, DNA-binding transcription factor activity, nucleus, plastid organization, regulation of DNA-templated transcription, response to light stimulus, response to salicylic acid, response to wounding","GEP_11 and DEGs",8
"AT1G56150","AT1G56150","Chir01Ox-b44640.2","SAUR71",0.307,0.053,NA,NA,"cytoplasm, defense response to fungus, defense response to other organism, hormone-mediated signaling pathway, molecular_function, plant-type cell wall organization or biogenesis, response to bacterium, response to fungus, response to organic cyclic compound, response to organonitrogen compound, response to oxidative stress, response to wounding","GEP_11 and DEGs",9
"AT1G80080","AT1G80080","Chir02Ox-b27910.2","TMM",0.725,0.054,NA,NA,"asymmetric cell division, cellular response to abscisic acid stimulus, defense response to fungus, membrane, peptide binding, protein binding, receptor serine/threonine kinase binding, regulation of antifungal innate immune response, response to abscisic acid, signal transduction, stomatal complex formation, stomatal complex morphogenesis, stomatal complex patterning, trichome morphogenesis","GEP_11 and DEGs",10
"AT3G12870","AT3G12870","Chir03Ox-b12040.2","MJM20.1",0.3235,0.0625,NA,NA,"lipid biosynthetic process, mitochondrion, molecular_function, negative regulation of cellular process, organic hydroxy compound biosynthetic process, plasmodesma","DEGs",11
"AT3G22760","AT3G22760","Chir03Ox-b22760.2","SOL1",0.4785,0.0805,"Yes","CPP","DNA-binding transcription factor activity, mitotic G1 phase, mitotic G2 phase, mitotic S phase, nucleus, stomatal complex patterning, stomatal lineage progression, transcription cis-regulatory region binding","DEGs",12
"AT5G15310","AT5G15310","Chir06Ox-b24060.2","ATMYB16",0.402,0.081,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","DEGs",13
"AT5G47380","AT5G47380","Chir06Ox-b00480.2","MQL5.24",0.606,0.091,NA,NA,"cell wall biogenesis, molecular_function, negative regulation of metabolic process, nucleus, plant-type cell wall organization or biogenesis, response to light stimulus","GEP_11 and DEGs",14
"AT5G46880","AT5G46880","Chir06Ox-b00960.2","HB-7",0.5425,0.094,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus","DEGs",15
"AT5G11160","AT5G11160","Chir06Ox-b28110.2","APT5",0.6625,0.1005,NA,NA,"adenine phosphoribosyltransferase activity, adenine salvage, AMP salvage, carboxylic acid metabolic process, cellular lipid metabolic process, cytoplasm, cytosol, flower development, growth, lipid biosynthetic process, meristem maintenance, phyllome development, small molecule metabolic process","DEGs",16
"AT4G15830","AT4G15830","Chir07Ox-b12350.2","DL3955C",0.439,0.102,NA,NA,"cytoplasmic microtubule, microtubule binding, microtubule cytoskeleton organization","DEGs",17
"AT4G31805","AT4G31805","Chir07Ox-b29090.2","AT4G31805.1",0.606,0.12,NA,NA,"asymmetric cell division, cell periphery, cytoplasm, nucleus, protein binding","DEGs",18
"AT4G04890","AT4G04890","Chir08Ox-b04440.2","AT4G04890.1",0.7465,0.1255,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding","DEGs",19
"AT2G25060","AT2G25060","Chir04Ox-b05690.2","AtENODL14",0.486,0.1255,NA,NA,"electron transfer activity, extracellular region, membrane, plasma membrane, plasmodesma, secretory vesicle, vacuole","DEGs",20
"AT3G28910","AT3G28910","Chir05Ox-b06840.2","ATMYB30",0.6105,0.1335,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process","DEGs",21
"AT4G21750","AT4G21750","Chir07Ox-b18410.2","AT4G21750.1",0.74,0.1365,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, nucleus, plant epidermal cell differentiation, protein binding, regulation of DNA-templated transcription, regulation of seed dormancy process, regulation of seed germination, seed germination, sequence-specific DNA binding","DEGs",22
"AT1G76540","AT1G76540","Chir02Ox-b23650.2","CDKB2;1",0.501,0.1455,NA,NA,"cyclin binding, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase activity, cytoplasm, G1/S transition of mitotic cell cycle, G2/M transition of mitotic cell cycle, hormone-mediated signaling pathway, nucleus, protein binding, protein phosphorylation, regulation of G2/M transition of mitotic cell cycle, regulation of gene expression, regulation of meristem structural organization, RNA polymerase II CTD heptapeptide repeat kinase activity, signal transduction","DEGs",23
"AT5G04530","AT5G04530","Chir06Ox-b34390.2","KCS19",0.6515,0.15,NA,NA,"chloroplast, fatty acid biosynthetic process, response to cold, response to light stimulus, very-long-chain 3-ketoacyl-CoA synthase activity","DEGs",24
"AT1G14440","AT1G14440","Chir01Ox-b14480.2","AtHB31",0.691,0.153,"Yes","ZF-HD","DNA-binding transcription factor activity, long-day photoperiodism, flowering, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",25
"AT5G17160","AT5G17160","Chir06Ox-b22210.2","F2K13.310",0.5565,0.154,NA,NA,"biological_process, molecular_function, nucleus","DEGs",26
"AT5G67270","AT5G67270","Chir08Ox-b29030.2","ATEB1C",0.584,0.1635,NA,NA,"cortical cytoskeleton organization, cytoplasm, cytoplasmic microtubule, microtubule binding, microtubule organizing center, microtubule plus-end, microtubule plus-end binding, nucleolus, nucleus, phragmoplast, plant-type cell wall, regulation of microtubule polymerization or depolymerization, spindle, spindle assembly, spindle midzone, thigmotropism","DEGs",27
"AT5G51600","AT5G51600","Chir08Ox-b13230.2","PLE",0.585,0.1695,NA,NA,"cortical microtubule, cytokinesis by cell plate formation, cytoplasm, formation of syncytium involving giant cell for nutrient acquisition, microtubule, microtubule binding, microtubule cytoskeleton organization, microtubule polymerization, nuclear division, phragmoplast, preprophase band, response to nematode, spindle","DEGs",28
"AT4G14770","AT4G14770","Chir07Ox-b10980.2","TCX2",0.5195,0.2015,"Yes","CPP","DNA-binding transcription factor activity, mitotic G1 phase, mitotic G2 phase, mitotic S phase, nucleus, regulation of DNA-templated transcription, stomatal complex patterning, stomatal lineage progression, transcription cis-regulatory region binding","DEGs",29
