"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT4G04890","Chir08Ox-b04440.2","AT4G04890.1",0.819,0.1105,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding","DEGs"
"AT4G21750","Chir07Ox-b18410.2","AT4G21750.1",0.8765,0.118,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, nucleus, plant epidermal cell differentiation, protein binding, regulation of DNA-templated transcription, regulation of seed dormancy process, regulation of seed germination, seed germination, sequence-specific DNA binding","DEGs"
"AT1G75710","Chir02Ox-b22640.2","AT1G75710.1",0.7185,0.1135,"Yes","C2H2","cell division, cellular response to brassinosteroid stimulus, DNA-binding transcription factor activity, nucleus, primary root development, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"AT3G28910","Chir05Ox-b06840.2","ATMYB30",0.781,0.1155,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process","DEGs"
"AT2G45190","Chir04Ox-b28030.2","AFO",0.7495,0.379,"Yes","YABBY","abaxial cell fate specification, cell fate commitment, DNA-binding transcription factor activity, fruit development, inflorescence meristem growth, meristem structural organization, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of flower development, regulation of leaf development, regulation of shoot apical meristem development, specification of floral organ identity, specification of plant organ position, transcription cis-regulatory region binding","DEGs"
"AT4G00480","Chir08Ox-b00630.2","myc1",0.4545,0.0725,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root hair, trichome patterning","DEGs"
"AT2G30424","Chir04Ox-b12150.2","TCL2",0.29,0.047,"Yes","MYB_related","cell differentiation, mitochondrion, negative regulation of DNA-templated transcription, negative regulation of trichome patterning, nucleus, transcription cis-regulatory region binding, trichome patterning","DEGs"
"AT2G45050","Chir04Ox-b27890.2","AT2G45050.1",0.3265,0.0435,"Yes","GATA","cell differentiation, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, response to light stimulus, sequence-specific DNA binding, zinc ion binding","DEGs"
"AT5G46880","Chir06Ox-b00960.2","HB-7",0.57,0.0825,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus","DEGs"
"AT5G53210","Chir08Ox-b14990.2","SPCH",0.2995,0.056,"Yes","bHLH","cytoplasm, DNA-binding transcription activator activity, DNA-binding transcription factor activity, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of response to osmotic stress, regulation of stomatal complex development, response to low humidity, response to osmotic stress, stomatal complex development","DEGs"
