"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT3G09260","Chir03Ox-b08480.2","PYK10",0.2675,0.041,NA,NA,"beta-glucosidase activity, carbohydrate metabolic process, cellular response to cold, chloroplast, copper ion binding, cytosol, endoplasmic reticulum, ER body, ER body organization, fucosidase activity, glucosinolate catabolic process, glucosinolate metabolic process, indole glucosinolate catabolic process, indole glucosinolate metabolic process, negative regulation of defense response, nucleus, peroxisome, plant-type vacuole, plasmodesma, protease binding, protein binding, protein homodimerization activity, response to osmotic stress, response to salt stress, response to symbiotic fungus, scopolin beta-glucosidase activity, thioglucosidase activity","DEGs"
"AT3G20470","Chir03Ox-b20470.2","GRP-5",0.2085,0.016,NA,NA,"plant-type cell wall, plant-type vacuole, positive regulation of cell growth, positive regulation of organ growth, response to abscisic acid, response to flooding, response to salicylic acid, structural constituent of cell wall","DEGs"
"AT4G17470","Chir07Ox-b14210.2","AT4G17470.1",0.4495,0.041,NA,NA,"chloroplast, intracellular membrane-bounded organelle, palmitoyl hydrolase activity, thiolester hydrolase activity","DEGs"
"AT1G54010","Chir01Ox-b43080.2","AT1G54010.1",0.596,0.164,NA,NA,"cell wall biogenesis, defense response to other organism, extracellular region, hydrolase activity, acting on ester bonds, nucleus, plant-type vacuole, plasmodesma, response to jasmonic acid, response to organic cyclic compound, response to oxidative stress, response to wounding, tryptophan metabolic process, vacuole","DEGs"
"AT5G36910","Chir01Ox-b36180.2","AT5G36910.1",0.7505,0.145,NA,NA,"defense response, extracellular region, toxin activity","DEGs"
"AT2G38750","Chir04Ox-b21260.2","ANNAT4",0.3915,0.0435,NA,NA,"calcium ion binding, calcium-dependent phospholipid binding, cell surface, chloroplast, cytoplasm, Golgi apparatus, mRNA binding, plasmodesma, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to salt stress, response to water deprivation","DEGs"
"AT4G33220","Chir07Ox-b30550.2","ATPME44",0.801,0.0975,NA,NA,"cell wall modification, defense response to Gram-negative bacterium, extracellular region, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity","DEGs"
"AT2G02850","Chir05Ox-b01690.2","AT2G02850.1",0.869,0.1015,NA,NA,"anther development, apoplast, electron transfer activity, extracellular matrix, extracellular region, pollination, secretory vesicle","DEGs"
"AT5G22500","Chir06Ox-b17250.2","AT5G22500.1",0.577,0.075,NA,NA,"alcohol-forming fatty acyl-CoA reductase activity, chloroplast, fatty-acyl-CoA reductase (alcohol-forming) activity, intracellular membrane-bounded organelle, long-chain fatty-acyl-CoA metabolic process, long-chain-fatty-acyl-CoA reductase activity, plasma membrane, response to salt stress, response to wounding, suberin biosynthetic process","DEGs"
"AT1G11600","Chir01Ox-b11470.2","CYP77B1",0.8135,0.109,NA,NA,"fatty acid biosynthetic process, flower development, heme binding, iron ion binding, linoleic acid epoxygenase activity, membrane, organelle organization, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, plant organ morphogenesis, plasma membrane, regulation of gene expression by genomic imprinting, tissue development","DEGs"
