"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT3G20470","AT3G20470","Chir03Ox-b20470.2","GRP-5",0.2085,0.016,NA,NA,"plant-type cell wall, plant-type vacuole, positive regulation of cell growth, positive regulation of organ growth, response to abscisic acid, response to flooding, response to salicylic acid, structural constituent of cell wall","DEGs",1
"AT1G45201","AT1G45201","Chir01Ox-b35540.2","ATTLL1",0.185,0.017,NA,NA,"carboxylic acid metabolic process, defense response to other organism, extracellular region, flavonoid biosynthetic process, glucosinolate metabolic process, lipid metabolic process, nucleus, plant-type cell wall biogenesis, plant-type vacuole, regulation of defense response, response to abscisic acid, response to inorganic substance, response to jasmonic acid, response to light stimulus, response to wounding, secretory vesicle, triglyceride lipase activity","GEP_24 and DEGs",2
"AT4G16515","AT4G16515","Chir07Ox-b13210.2","GLV1",0.19,0.025,NA,NA,"cell differentiation, extracellular region, extracellular space, growth factor activity, hormone activity, lateral root development, mitochondrion, positive gravitropism, positive regulation of cell population proliferation, regulation of asymmetric cell division, regulation of auxin polar transport, regulation of lateral root development, regulation of protein localization, regulation of root development, regulation of root meristem growth, regulation of root morphogenesis, response to auxin, root system development","GEP_24",3
"AT1G13110","AT1G13110","Chir01Ox-b13070.2","CYP71B7",0.185,0.025,NA,NA,"alpha-amino acid metabolic process, chloroplast, defense response to bacterium, defense response to fungus, heme binding, immune system process, iron ion binding, organic acid biosynthetic process, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, response to light stimulus, signal transduction","GEP_24",4
"AT4G25830","AT4G25830","Chir07Ox-b22870.2","AT4G25830.1",0.269,0.031,NA,NA,"4 iron, 4 sulfur cluster binding, extracellular region, plasma membrane, response to light stimulus","GEP_24",5
"AT1G58270","AT1G58270","Chir07Ox-b03220.2","AT1G58270.1",0.231,0.034,NA,NA,"carbohydrate derivative metabolic process, cell differentiation, cellular lipid metabolic process, defense response to other organism, developmental growth, lipid biosynthetic process, monocarboxylic acid metabolic process, nucleus, organic acid biosynthetic process, plant epidermis development, plant-type cell wall biogenesis, plasmodesma, response to alcohol, response to organonitrogen compound, response to water deprivation, response to wounding, root morphogenesis","GEP_43",6
"AT4G02850","AT4G02850","Chir08Ox-b03090.2","DAAR1",0.2,0.035,NA,NA,"amino-acid racemase activity, biosynthetic process, cytoplasm, isomerase activity, tissue development","GEP_24",7
"AT4G22690","AT4G22690","Chir07Ox-b19390.2","CYP706A1",0.186,0.036,NA,NA,"chloroplast, defense response to bacterium, defense response to fungus, Golgi apparatus, heme binding, hormone-mediated signaling pathway, immune system process, iron ion binding, mitochondrion, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, oxoacid metabolic process, plant-type cell wall, plant-type vacuole, regulation of signal transduction, response to abscisic acid, response to chitin, response to organic cyclic compound, response to water deprivation, secondary metabolic process","GEP_24",8
"AT5G55620","AT5G55620","Chir08Ox-b17580.2","MDF20.6",0.288,0.038,NA,NA,"cell differentiation, cellular_component, molecular_function, phyllome development, plant organ morphogenesis, response to light stimulus, vitamin metabolic process","GEP_43 and DEGs",9
"AT4G17470","AT4G17470","Chir07Ox-b14210.2","AT4G17470.1",0.4495,0.041,NA,NA,"chloroplast, intracellular membrane-bounded organelle, palmitoyl hydrolase activity, thiolester hydrolase activity","DEGs",10
"AT3G09260","AT3G09260","Chir03Ox-b08480.2","PYK10",0.2675,0.041,NA,NA,"beta-glucosidase activity, carbohydrate metabolic process, cellular response to cold, chloroplast, copper ion binding, cytosol, endoplasmic reticulum, ER body, ER body organization, fucosidase activity, glucosinolate catabolic process, glucosinolate metabolic process, indole glucosinolate catabolic process, indole glucosinolate metabolic process, negative regulation of defense response, nucleus, peroxisome, plant-type vacuole, plasmodesma, protease binding, protein binding, protein homodimerization activity, response to osmotic stress, response to salt stress, response to symbiotic fungus, scopolin beta-glucosidase activity, thioglucosidase activity","DEGs",11
"AT2G45050","AT2G45050","Chir04Ox-b27890.2","AT2G45050.1",0.3265,0.0435,"Yes","GATA","cell differentiation, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, response to light stimulus, sequence-specific DNA binding, zinc ion binding","DEGs",12
"AT2G38750","AT2G38750","Chir04Ox-b21260.2","ANNAT4",0.3915,0.0435,NA,NA,"calcium ion binding, calcium-dependent phospholipid binding, cell surface, chloroplast, cytoplasm, Golgi apparatus, mRNA binding, plasmodesma, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to salt stress, response to water deprivation","DEGs",13
"AT2G30424","AT2G30424","Chir04Ox-b12150.2","TCL2",0.29,0.047,"Yes","MYB_related","cell differentiation, mitochondrion, negative regulation of DNA-templated transcription, negative regulation of trichome patterning, nucleus, transcription cis-regulatory region binding, trichome patterning","DEGs",14
"AT4G37800","AT4G37800","Chir07Ox-b35240.2","XTH7",0.198,0.049,NA,NA,"cell wall biogenesis, cellular component biogenesis, extracellular region, hydrolase activity, hydrolyzing O-glycosyl compounds, plant-type cell wall organization or biogenesis, polysaccharide binding, xyloglucan metabolic process, xyloglucan:xyloglucosyl transferase activity","GEP_24",15
"AT4G15760","AT4G15760","Chir07Ox-b12250.2","AT4G15760.1",0.42,0.051,NA,NA,"endoplasmic reticulum, FAD binding, mitochondrion, response to fungus","GEP_24 and DEGs",16
"AT4G14550","AT4G14550","Chir07Ox-b10470.2","SLR",0.378,0.054,NA,NA,"DNA-binding transcription factor activity, lateral root morphogenesis, negative regulation of DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, transcription cis-regulatory region binding","GEP_43 and DEGs",17
"AT5G53210","AT5G53210","Chir08Ox-b14990.2","SPCH",0.2995,0.056,"Yes","bHLH","cytoplasm, DNA-binding transcription activator activity, DNA-binding transcription factor activity, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of response to osmotic stress, regulation of stomatal complex development, response to low humidity, response to osmotic stress, stomatal complex development","DEGs",18
"AT3G08770","AT3G08770","Chir03Ox-b07970.2","AtLtpI-6",0.581,0.058,NA,NA,"extracellular region, lipid transport, response to water deprivation","GEP_24 and DEGs",19
"AT5G15310","AT5G15310","Chir06Ox-b24060.2","ATMYB16",0.556,0.066,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_43",20
"AT4G00480","AT4G00480","Chir08Ox-b00630.2","myc1",0.4545,0.0725,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root hair, trichome patterning","DEGs",21
"AT3G51600","AT3G51600","Chir05Ox-b16920.2","AT3G51600.1",0.469,0.073,NA,NA,"cytosol, extracellular region, lipid transport, lipid transporter activity, plant-type cell wall, plasmodesma","GEP_43 and DEGs",22
"AT5G22500","AT5G22500","Chir06Ox-b17250.2","AT5G22500.1",0.577,0.075,NA,NA,"alcohol-forming fatty acyl-CoA reductase activity, chloroplast, fatty-acyl-CoA reductase (alcohol-forming) activity, intracellular membrane-bounded organelle, long-chain fatty-acyl-CoA metabolic process, long-chain-fatty-acyl-CoA reductase activity, plasma membrane, response to salt stress, response to wounding, suberin biosynthetic process","DEGs",23
"AT5G46880","AT5G46880","Chir06Ox-b00960.2","HB-7",0.57,0.0825,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus","DEGs",24
"AT1G51500","AT1G51500","Chir01Ox-b40390.2","CER5",0.694,0.083,NA,NA,"ABC-type transporter activity, ATPase-coupled transmembrane transporter activity, defense response to virus, efflux transmembrane transporter activity, endoplasmic reticulum, export from cell, plasma membrane, protein binding, response to abscisic acid, response to salt stress, transmembrane transport, wax biosynthetic process","GEP_43 and DEGs",25
"AT5G14410","AT5G14410","Chir06Ox-b24990.2","F18O22.200",0.673,0.083,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_43 and DEGs",26
"AT1G01610","AT1G01610","Chir01Ox-b00640.2","ATGPAT4",0.679,0.088,NA,NA,"chloroplast, cutin biosynthetic process, glycerol-3-phosphate 2-O-acyltransferase activity, membrane, phosphatase activity, sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity","GEP_43 and DEGs",27
"AT1G78850","AT1G78850","Chir02Ox-b25980.2","GAL1",0.314,0.089,NA,NA,"apoplast, cellular response to hypoxia, extracellular region, glycosaminoglycan binding, Golgi apparatus, mitochondrion, plant-type cell wall, plant-type vacuole, response to sodium phosphate, secretory vesicle","GEP_24",28
"AT5G20270","AT5G20270","Chir06Ox-b18750.2","AT5G20270.1",0.718,0.089,NA,NA,"negative regulation of abscisic acid-activated signaling pathway, nucleus, response to hormone, response to salt stress, response to sucrose, signaling receptor activity","GEP_43 and DEGs",29
"AT1G64670","AT1G64670","Chir02Ox-b00160.2","CED1",0.739,0.093,NA,NA,"chloroplast, cuticle development, cutin biosynthetic process, cytoplasm, defense response to fungus, lateral root development, nucleus, plant-type cell wall, positive regulation of cutin biosynthetic process, positive regulation of response to water deprivation, regulation of abscisic acid biosynthetic process, response to abscisic acid, response to osmotic stress, suberin biosynthetic process, transpiration","GEP_43 and DEGs",30
"AT4G33220","AT4G33220","Chir07Ox-b30550.2","ATPME44",0.801,0.0975,NA,NA,"cell wall modification, defense response to Gram-negative bacterium, extracellular region, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity","DEGs",31
"AT2G02850","AT2G02850","Chir05Ox-b01690.2","AT2G02850.1",0.869,0.1015,NA,NA,"anther development, apoplast, electron transfer activity, extracellular matrix, extracellular region, pollination, secretory vesicle","DEGs",32
"AT1G11600","AT1G11600","Chir01Ox-b11470.2","CYP77B1",0.8135,0.109,NA,NA,"fatty acid biosynthetic process, flower development, heme binding, iron ion binding, linoleic acid epoxygenase activity, membrane, organelle organization, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, plant organ morphogenesis, plasma membrane, regulation of gene expression by genomic imprinting, tissue development","DEGs",33
"AT4G04890","AT4G04890","Chir08Ox-b04440.2","AT4G04890.1",0.819,0.1105,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding","DEGs",34
"AT1G75710","AT1G75710","Chir02Ox-b22640.2","AT1G75710.1",0.7185,0.1135,"Yes","C2H2","cell division, cellular response to brassinosteroid stimulus, DNA-binding transcription factor activity, nucleus, primary root development, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",35
"AT3G28910","AT3G28910","Chir05Ox-b06840.2","ATMYB30",0.781,0.1155,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process","DEGs",36
"AT4G21750","AT4G21750","Chir07Ox-b18410.2","AT4G21750.1",0.8765,0.118,"Yes","HD-ZIP","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, nucleus, plant epidermal cell differentiation, protein binding, regulation of DNA-templated transcription, regulation of seed dormancy process, regulation of seed germination, seed germination, sequence-specific DNA binding","DEGs",37
"AT5G36910","AT5G36910","Chir01Ox-b36180.2","AT5G36910.1",0.7505,0.145,NA,NA,"defense response, extracellular region, toxin activity","DEGs",38
"AT1G54010","AT1G54010","Chir01Ox-b43080.2","AT1G54010.1",0.596,0.164,NA,NA,"cell wall biogenesis, defense response to other organism, extracellular region, hydrolase activity, acting on ester bonds, nucleus, plant-type vacuole, plasmodesma, response to jasmonic acid, response to organic cyclic compound, response to oxidative stress, response to wounding, tryptophan metabolic process, vacuole","DEGs",39
"AT2G45190","AT2G45190","Chir04Ox-b28030.2","AFO",0.7495,0.379,"Yes","YABBY","abaxial cell fate specification, cell fate commitment, DNA-binding transcription factor activity, fruit development, inflorescence meristem growth, meristem structural organization, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of flower development, regulation of leaf development, regulation of shoot apical meristem development, specification of floral organ identity, specification of plant organ position, transcription cis-regulatory region binding","DEGs",40
