"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT5G03150","AT5G03150","Chir06Ox-b35870.2","JKD",0.3235,0.014,"Yes","C2H2","asymmetric cell division, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of cell division, regulation of DNA-templated transcription, regulation of epidermal cell differentiation, regulation of meristem growth, root development, sequence-specific DNA binding","DEGs",1
"AT1G22490","AT1G22490","Chir01Ox-b22200.2","bHLH094",0.187,0.014,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs",2
"AT4G10640","AT4G10640","Chir08Ox-b07590.2","ABS6",0.293,0.017,NA,NA,"biological_process, calmodulin binding, microtubule, nucleus, plasma membrane, protein binding","GEP_7",3
"AT1G44830","AT1G44830","Chir01Ox-b35290.2","AtERF014",0.376,0.021,"Yes","ERF","DNA-binding transcription factor activity, jasmonic acid and ethylene-dependent systemic resistance, nucleus, positive regulation of DNA-templated transcription, regulation of innate immune response, regulation of pectin biosynthetic process, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding","GEP_7",4
"AT3G50870","AT3G50870","Chir05Ox-b16230.2","HAN",0.339,0.023,"Yes","GATA","cotyledon development, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, regulation of meristem structural organization, sequence-specific DNA binding, zinc ion binding","GEP_7 and DEGs",5
"AT1G27020","AT1G27020","Chir01Ox-b24160.2","T7N9.8",0.39,0.03,NA,NA,"cytosol, defense response to bacterium, defense response to fungus, molecular_function, nucleus, oxoacid metabolic process, regulation of biological quality, response to wounding","GEP_7",6
"AT4G24275","AT4G24275","Chir07Ox-b21340.2",NA,0.442,0.036,NA,NA,"molecular_function, nucleus, response to water deprivation","GEP_7 and DEGs",7
"AT4G15210","AT4G15210","Chir07Ox-b11520.2","ATBETA-AMY",0.461,0.05,NA,NA,"amylopectin maltohydrolase activity, beta-amylase activity, extracellular region, response to herbivore, secretory vesicle, starch catabolic process","GEP_7",8
"AT4G11320","AT4G11320","Chir08Ox-b06850.2","CP2",0.627,0.055,NA,NA,"cysteine-type endopeptidase activity, extracellular region, extracellular space, lysosome, peptidase activity, proteolysis, proteolysis involved in protein catabolic process","GEP_7 and DEGs",9
"AT1G26960","AT1G26960","Chir01Ox-b24240.2","AtHB23",0.3145,0.0565,"Yes","HD-ZIP","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lateral root development, lateral root formation, nucleus, positive regulation of DNA-templated transcription, response to gibberellin, root system development, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",10
"AT5G61290","AT5G61290","Chir08Ox-b23810.2","MFB13.9",0.46,0.062,NA,NA,"alpha-amino acid metabolic process, chloroplast, defense response, flavin adenine dinucleotide binding, flavonoid metabolic process, glucosinolate metabolic process, N,N-dimethylaniline monooxygenase activity, NADP binding, plant-type secondary cell wall biogenesis, response to wounding","GEP_7",11
