"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT2G42610","Chir04Ox-b25400.2","LSH10",0.8065,0.1035,NA,NA,"cellular developmental process, glucosinolate metabolic process, molecular_function, mRNA transcription, nucleus, oxoacid metabolic process, post-embryonic plant morphogenesis, regionalization, response to light intensity, response to light stimulus, stomatal complex development","DEGs"
"AT1G62480","Chir02Ox-b02980.2","AT1G62480.1",0.896,0.246,NA,NA,"cytosol, nucleus","DEGs"
"AT2G28790","Chir04Ox-b10440.2","F8N16.8",0.868,0.4525,NA,NA,"defense response, extracellular region, molecular_function, plant-type cell wall, plasmodesma, secretory vesicle","DEGs"
"AT3G53990","Chir05Ox-b19470.2","USP17",0.937,0.5575,NA,NA,"chaperone-mediated protein folding, cytoplasm, cytosol, nucleic acid binding, nucleus, plasma membrane, plasmodesma, response to cold, response to heat, response to oxidative stress, RNA folding","DEGs"
"AT2G47930","Chir04Ox-b30870.2","AGP26",0.654,0.3155,NA,NA,"membrane, molecular_function, plasma membrane","DEGs"
"AT4G12730","Chir07Ox-b10270.2","AT4G12730.1",0.65,0.2275,NA,NA,"cell differentiation, cell division, cytosol, developmental cell growth, developmental growth, extracellular region, lipid biosynthetic process, membrane, organic hydroxy compound biosynthetic process, plant epidermis development, plant-type cell wall biogenesis, plant-type vacuole, plasma membrane, response to lipid, response to organic cyclic compound, root morphogenesis, unidimensional cell growth","DEGs"
"AT4G15920","Chir07Ox-b12460.2","AtSWEET17",0.629,0.224,NA,NA,"carbohydrate export, chloroplast, fructose export from vacuole to cytoplasm, fructose uniporter activity, plant-type vacuole membrane","DEGs"
"AT1G31710","Chir01Ox-b30190.2","CuAOalpha3",0.6025,0.176,NA,NA,"aliphatic amine oxidase activity, amine metabolic process, aminoacetone:oxygen oxidoreductase(deaminating) activity, copper ion binding, extracellular region, peroxisome, phenethylamine:oxygen oxidoreductase (deaminating) activity, primary amine oxidase activity, putrescine catabolic process, quinone binding, response to abscisic acid, response to auxin, response to jasmonic acid, response to putrescine, response to salicylic acid, response to water deprivation, response to wounding, tryptamine:oxygen oxidoreductase (deaminating) activity","DEGs"
"AT2G35120","Chir04Ox-b17280.2","T4C15.21",0.7745,0.372,NA,NA,"ATP binding, cytoplasm, glycine cleavage complex, glycine decarboxylation via glycine cleavage system, mitochondrion, protein lipoylation","DEGs"
"AT3G48100","Chir05Ox-b12990.2","ARR5",0.548,0.1005,NA,NA,"circadian rhythm, cytokinin-activated signaling pathway, cytoplasm, nucleus, phosphorelay response regulator activity, protein binding, regulation of DNA-templated transcription, response to cytokinin, response to red light","DEGs"
