"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT4G27230","Chir07Ox-b24380.2","HTA2",0.929,0.3675,NA,NA,"cytosol, DNA binding, negative regulation of macromolecule metabolic process, negative regulation of metabolic process, nucleus, protein heterodimerization activity, response to light stimulus, structural constituent of chromatin","DEGs"
"AT3G54560","Chir05Ox-b20030.2","HTA11",0.9935,0.4135,NA,NA,"defense response to bacterium, detection of temperature stimulus, DNA binding, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein heterodimerization activity, regulation of DNA methylation, regulation of gene expression, response to osmotic stress, structural constituent of chromatin","DEGs"
"AT2G28740","Chir08Ox-b22080.2","AT2G28740.1",0.9935,0.4525,NA,NA,"DNA binding, nucleolus, nucleosome, nucleus, peroxisome, response to water deprivation","DEGs"
"AT1G09200","Chir08Ox-b28050.2","HTR2",0.9925,0.388,NA,NA,"chromosome organization, DNA replication, extracellular region, gametophyte development, negative regulation of cellular process, nucleus, regulation of cell cycle","DEGs"
"AT1G20693","Chir01Ox-b20510.2","HMG BETA 1",0.9735,0.5415,NA,NA,"chromatin, chromatin binding, DNA binding, DNA-binding transcription factor activity, nucleus, structural constituent of chromatin","DEGs"
"AT3G20670","Chir03Ox-b20700.2","HTA13",0.9905,0.458,NA,NA,"cytosol, DNA binding, nucleus, protein heterodimerization activity, structural constituent of chromatin","DEGs"
"AT2G37470","Chir05Ox-b19180.2","HTB5",0.992,0.5815,NA,NA,"DNA binding, endoplasmic reticulum, nucleosome assembly, nucleus, protein heterodimerization activity, structural constituent of chromatin","DEGs"
"AT1G08880","Chir01Ox-b08430.2","HTA5",0.9905,0.482,NA,NA,"DNA binding, extracellular region, nucleus, protein heterodimerization activity, structural constituent of chromatin","DEGs"
"AT2G30620","Chir04Ox-b12380.2","H1.2",0.9925,0.611,NA,NA,"double-stranded DNA binding, mitochondrion, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, structural constituent of chromatin","DEGs"
"AT5G59910","Chir08Ox-b22340.2","HTB4",0.9985,0.6565,NA,NA,"chloroplast stroma, chloroplast thylakoid, DNA binding, nucleolus, nucleosome assembly, nucleus, plastid, protein heterodimerization activity, structural constituent of chromatin","DEGs"
