"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT4G13770","Chir07Ox-b09470.2","CYP83A1",0.283,0.0475,NA,NA,"cytosol, glucosinolate biosynthetic process, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to insect, response to UV","DEGs"
"AT3G04520","Chir03Ox-b03770.2","AT3G04520.1",0.6015,0.0885,NA,NA,"amino acid metabolic process, cytosol, glycine biosynthetic process, L-allo-threonine aldolase activity, lyase activity, nucleus, threonine aldolase activity, threonine catabolic process","DEGs"
"AT2G46650","Chir04Ox-b29570.2","B5 #1",0.5115,0.1875,NA,NA,"carboxylic acid metabolic process, cell wall organization or biogenesis, cellular catabolic process, cellular macromolecule localization, cytosol, defense response to bacterium, defense response to other organism, heme binding, hormone-mediated signaling pathway, intracellular membrane-bounded organelle, jasmonic acid mediated signaling pathway, membrane, monocarboxylic acid metabolic process, organic substance catabolic process, regulation of small molecule metabolic process, response to wounding, tryptophan metabolic process","DEGs"
"AT4G39950","Chir07Ox-b35760.2","CYP79B2",0.139,0.025,NA,NA,"camalexin biosynthetic process, chloroplast, defense response, defense response by callose deposition in cell wall, defense response to bacterium, defense response to oomycetes, heme binding, indoleacetic acid biosynthetic process, induced systemic resistance, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to bacterium, response to insect, response to water deprivation, tryptophan catabolic process","DEGs"
"AT5G62680","Chir08Ox-b25200.2","GTR2",0.132,0.0325,NA,NA,"glucosinolate transport, glucosinolate:proton symporter activity, phloem glucosinolate loading, plasma membrane, plasmodesma","DEGs"
"AT5G14920","Chir06Ox-b24490.2","GASA14",0.318,0.077,NA,NA,"plasma membrane, plastid, protein binding, regulation of reactive oxygen species metabolic process, response to abscisic acid, response to gibberellin, response to salt stress","DEGs"
"AT4G16447","Chir07Ox-b13120.2",NA,0.2295,0.0375,NA,NA,"biological_process, mitochondrion, molecular_function","DEGs"
"AT4G09890","Chir08Ox-b08540.2","T5L19.20",0.149,0.081,NA,NA,"defense response to bacterium, molecular_function, nucleus, plant-type cell wall organization or biogenesis, response to auxin, response to organic cyclic compound","DEGs"
"AT5G07460","Chir06Ox-b31470.2","PMSR2",0.1275,0.0255,NA,NA,"cellular response to oxidative stress, cytoplasm, cytosol, L-methionine-(S)-S-oxide reductase activity, L-methionine:thioredoxin-disulfide S-oxidoreductase activity, peptide-methionine (S)-S-oxide reductase activity, plasma membrane, response to oxidative stress","DEGs"
"AT5G48170","Chir06Ox-b08920.2","SNE",0.275,0.066,NA,NA,"gibberellic acid mediated signaling pathway, nucleus, protein binding, regulation of gibberellic acid mediated signaling pathway, regulation of shoot system development, SCF ubiquitin ligase complex","DEGs"
