"gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source"
"AT5G66440","Chir08Ox-b30160.2","K1F13.9",0.625,0.0245,NA,NA,"defense response to other organism, molecular_function, nucleus, regulation of developmental process, response to fungus","DEGs"
"AT1G25230","Chir01Ox-b25590.2","F4F7.38",0.697,0.0345,NA,NA,"acid phosphatase activity, cellular catabolic process, extracellular region, ferric iron binding, ferrous iron binding, growth, organic acid metabolic process, organic substance catabolic process, protein-containing complex assembly, response to light intensity","DEGs"
"AT5G25980","Chir06Ox-b11410.2","BGLU37",0.4495,0.0325,NA,NA,"apoplast, beta-glucosidase activity, carbohydrate metabolic process, chloroplast, cytosolic ribosome, defense response to insect, extracellular region, glucosinolate catabolic process, glucosinolate glucohydrolase activity, peroxisome, plant-type vacuole, plasmodesma, plastid, regulation of stomatal movement, response to abscisic acid, secretory vesicle, thioglucosidase activity","DEGs"
"AT1G15970","Chir01Ox-b16020.2","AT1G15970.1",0.686,0.182,NA,NA,"base-excision repair, DNA-3-methyladenine glycosylase activity, nucleus","DEGs"
"AT3G56620","Chir05Ox-b22210.2","UMAMIT10",0.2205,0.0115,NA,NA,"abscisic acid-activated signaling pathway, plasma membrane, response to osmotic stress, response to water deprivation, response to wounding, transmembrane transporter activity","DEGs"
"AT3G15710","Chir03Ox-b15480.2","MSJ11.11",0.79,0.4575,NA,NA,"chloroplast, endoplasmic reticulum, peptidase activity, plant-type vacuole, plasma membrane, serine-type endopeptidase activity, signal peptidase complex, signal peptide processing","DEGs"
"AT5G22360","Chir06Ox-b17390.2","ATVAMP714",0.883,0.4025,NA,NA,"Golgi apparatus, response to salt stress, vacuole, vesicle-mediated transport","DEGs"
"AT2G36900","Chir04Ox-b19280.2","MEMB11",0.8935,0.488,NA,NA,"cis-Golgi network, endoplasmic reticulum membrane, ER to Golgi transport vesicle membrane, Golgi apparatus, Golgi trans cisterna, late endosome membrane, protein binding, SNAP receptor activity, SNARE binding, SNARE complex, vesicle fusion, vesicle-mediated transport","DEGs"
"AT4G36210","Chir07Ox-b33720.2","F23E13.100",0.7075,0.2765,NA,NA,"cellular response to hormone stimulus, cellular response to oxygen-containing compound, chloroplast, molecular_function, response to lipid, shoot system development, signal transduction, small molecule metabolic process","DEGs"
"AT4G16330","Chir07Ox-b12970.2","AT4G16330.1",0.7205,0.2255,NA,NA,"chloroplast, dioxygenase activity, peroxisome, response to light stimulus, response to lipid","DEGs"
