"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT1G30250","AT1G30250","Chir01Ox-b28780.2","F12P21.5",0.173,0.03,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_35",1
"AT1G74670","AT1G74670","Chir02Ox-b21610.2","GASA6",0.36,0.042,NA,NA,"extracellular region, gibberellic acid mediated signaling pathway, molecular_function, plant-type cell wall, plant-type cell wall modification involved in multidimensional cell growth, response to fructose, response to glucose, response to sucrose","GEP_35",2
"AT4G26530","AT4G26530","Chir07Ox-b23640.2","FBA5",0.533,0.079,NA,NA,"cytoplasm, cytosol, fructose 1,6-bisphosphate metabolic process, fructose-bisphosphate aldolase activity, gluconeogenesis, glycolytic process, mRNA binding, protein binding","GEP_35",3
"AT2G40100","AT2G40100","Chir04Ox-b22740.2","LHCB4.3",0.42,0.103,NA,NA,"chlorophyll binding, chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, Golgi apparatus, photosynthesis, light harvesting, photosynthesis, light harvesting in photosystem I, response to light stimulus, thylakoid","GEP_35",4
"AT1G22590","AT1G22590","Chir01Ox-b22340.2","AGL87",0.411,0.104,"Yes","M-type_MADS","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, positive regulation of transcription by RNA polymerase II, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","GEP_35",5
"AT4G36850","AT4G36850","Chir07Ox-b34280.2","AP22.27",0.384,0.111,NA,NA,"carbohydrate derivative metabolic process, carboxylic acid metabolic process, cellular catabolic process, cellular lipid metabolic process, defense response to other organism, lipid biosynthetic process, molecular_function, organonitrogen compound catabolic process, phosphate ion homeostasis, porphyrin-containing compound metabolic process, response to bacterium, response to light stimulus, response to wounding, seed development","GEP_35",6
"AT5G59540","AT5G59540","Chir08Ox-b21880.2","F2O15.6",0.395,0.134,NA,NA,"cytoplasm, defense response to bacterium, defense response to fungus, ethylene-activated signaling pathway, molecular_function, negative regulation of signal transduction, oxoacid metabolic process, regulation of defense response, response to abscisic acid, response to inorganic substance, response to osmotic stress","GEP_35",7
"AT1G30260","AT1G30260","Chir01Ox-b28790.2","AT1G30260.1",0.383,0.135,NA,NA,"mitochondrion, response to cytokinin","GEP_35",8
"AT5G06530","AT5G06530","Chir06Ox-b32460.2","AtABCG22",0.365,0.14,NA,NA,"ABC-type transporter activity, ATPase-coupled transmembrane transporter activity, membrane, mitochondrion, plasma membrane, response to water deprivation, transmembrane transport, transpiration","GEP_35",9
"AT2G42530","AT2G42530","Chir04Ox-b25310.2","AT2G42530.1",0.606,0.153,NA,NA,"chloroplast, chloroplast envelope, chloroplast stroma, cold acclimation, cytosol, defense response to fungus, galactose binding, leaf senescence, lipid binding, response to abscisic acid, response to cold","GEP_35",10
"AT3G15840","AT3G15840","Chir03Ox-b15590.2","PIFI",0.7775,0.42,NA,NA,"cellular heat acclimation, chloroplast, chloroplast stroma, chlororespiration, cytosol, molecular_function, nonphotochemical quenching, thylakoid","DEGs",11
"AT1G14150","AT1G14150","Chir01Ox-b14150.2","PQL1",0.8495,0.4285,NA,NA,"calcium ion binding, chloroplast, chloroplast thylakoid, chloroplast thylakoid lumen, chloroplast thylakoid membrane, electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity, extrinsic component of membrane, nitrite reductase complex [NAD(P)H], photosynthetic electron transport chain, photosystem II oxygen evolving complex","DEGs",12
"AT4G35090","AT4G35090","Chir07Ox-b32520.2","CAT2",0.9155,0.5595,NA,NA,"catalase activity, cell death, cell redox homeostasis, cellular response to nitrogen starvation, cellular response to phosphate starvation, cellular response to sulfate starvation, cobalt ion binding, cytoplasm, cytosol, cytosolic ribosome, heme binding, hydrogen peroxide catabolic process, mitochondrion, nucleus, peroxisome, photoperiodism, plasma membrane, protein binding, response to cold, response to hydrogen peroxide, response to light stimulus, response to oxidative stress, stromule","DEGs",13
