"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT5G24780","AT5G24780","Chir06Ox-b15020.2","ATVSP1",0.266,0.01,NA,NA,"acid phosphatase activity, chloroplast, defense response, dephosphorylation, plant-type vacuole, response to jasmonic acid, transcription factor binding","GEP_2",1
"AT1G54020","AT1G54020","Chir01Ox-b43090.2","AT1G54020.2",0.257,0.015,NA,NA,"amino acid metabolic process, carboxylic acid biosynthetic process, cytosol, extracellular region, hydrolase activity, acting on ester bonds, indole-containing compound biosynthetic process, isoprenoid metabolic process, plant-type vacuole, response to inorganic substance, response to jasmonic acid, response to wounding, sulfur compound biosynthetic process, vacuole","GEP_2 and DEGs",2
"AT1G76640","AT1G76640","Chir02Ox-b23770.2","CML39",0.266,0.028,NA,NA,"amino acid metabolic process, calcium ion binding, cellular response to hypoxia, cellular response to oxygen-containing compound, cytoplasm, defense response to other organism, indole-containing compound metabolic process, response to alcohol, response to jasmonic acid, response to oxidative stress, response to water deprivation, response to wounding","GEP_2",3
"AT1G76790","AT1G76790","Chir02Ox-b23900.2","IGMT5",0.31,0.029,NA,NA,"aromatic compound biosynthetic process, cytosol, indole glucosinolate biosynthetic process, methylation, O-methyltransferase activity, protein dimerization activity, S-adenosylmethionine-dependent methyltransferase activity","GEP_2",4
"AT1G24070","AT1G24070","Chir01Ox-b23720.2","ATCSLA10",0.457,0.036,NA,NA,"cellulose synthase activity, glucomannan 4-beta-mannosyltransferase activity, glycosyltransferase activity, Golgi apparatus, mannan synthase activity","GEP_2",5
"AT5G50335","AT5G50335","Chir08Ox-b11550.2",NA,0.189,0.037,NA,NA,"molecular_function, nucleus, response to auxin","GEP_2",6
"AT4G27860","AT4G27860","Chir07Ox-b25040.2","MEB1",0.389,0.051,NA,NA,"cellular manganese ion homeostasis, endoplasmic reticulum, ER body, intracellular sequestering of iron ion, iron ion transmembrane transporter activity, manganese ion transmembrane transporter activity, membrane, nucleus, protein binding","DEGs",7
"AT1G73325","AT1G73325","Chir02Ox-b20100.2","AT1G73325.1",0.378,0.055,NA,NA,"alpha-amino acid metabolic process, defense response to other organism, extracellular region, flavonoid biosynthetic process, response to jasmonic acid, response to wounding","GEP_2 and DEGs",8
"AT3G16470","AT3G16470","Chir03Ox-b16250.2","JAL35",0.553,0.06,NA,NA,"carbohydrate binding, chloroplast, cytoplasm, cytosol, nucleus, plant-type vacuole, plasmodesma, protein binding, response to jasmonic acid, response to wounding, vegetative to reproductive phase transition of meristem","GEP_2 and DEGs",9
"AT1G14250","AT1G14250","Chir01Ox-b14260.2","AT1G14250.1",0.398,0.077,NA,NA,"membrane, nucleoside diphosphate catabolic process, nucleoside diphosphate phosphatase activity, plant-type vacuole, plasma membrane","GEP_2",10
"AT4G03420","AT4G03420","Chir08Ox-b03660.2","F9H3.4",0.319,0.095,NA,NA,"amino acid metabolic process, defense response to other organism, jasmonic acid mediated signaling pathway, molecular_function, monocarboxylic acid biosynthetic process, nucleus, response to light intensity, response to wounding","GEP_2",11
"AT1G52040","AT1G52040","Chir01Ox-b40890.2","ATMBP",0.7935,0.115,NA,NA,"cytoplasm, defense response, nucleus, plant-type vacuole","DEGs",12
"AT1G52410","AT1G52410","Chir01Ox-b41240.2","AtTSA1",0.87,0.179,NA,NA,"calcium ion binding, chloroplast, chloroplast thylakoid membrane, defense response to fungus, nucleus, peroxisome, photomorphogenesis, plant-type vacuole, protein binding, secretory vesicle","DEGs",13
"AT1G44350","AT1G44350","Chir01Ox-b35080.2","AT1G44350.1",0.62,0.2125,NA,NA,"auxin metabolic process, chloroplast, hydrolase activity, IAA-amino acid conjugate hydrolase activity, jasmonic acid metabolic process, jasmonyl-Ile conjugate hydrolase activity, regulation of systemic acquired resistance, response to jasmonic acid","DEGs",14
"AT1G52400","AT1G52400","Chir01Ox-b41230.2","BGL1",0.8785,0.2135,NA,NA,"abscisic acid glucose ester beta-glucosidase activity, abscisic acid metabolic process, beta-glucosidase activity, carbohydrate metabolic process, chloroplast, defense response to fungus, endoplasmic reticulum, ER body, extracellular region, glucosinolate catabolic process, identical protein binding, nucleus, peroxisome, plant-type vacuole, plasmodesma, positive regulation of abscisic acid-activated signaling pathway, regulation of stomatal movement, response to abscisic acid, response to insect, response to salt stress, response to water deprivation, water homeostasis","DEGs",15
"AT5G24420","AT5G24420","Chir06Ox-b15290.2","PGL5",0.8445,0.308,NA,NA,"6-phosphogluconolactonase activity, carbohydrate metabolic process, cytoplasm, cytosol, pentose-phosphate shunt, oxidative branch","DEGs",16
"AT3G45140","AT3G45140","Chir05Ox-b29240.2","AT3G45140.2",0.9435,0.3195,NA,NA,"chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytoplasm, cytosol, green leaf volatile biosynthetic process, jasmonic acid biosynthetic process, linoleate 13S-lipoxygenase activity, lipid oxidation, mRNA binding, oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen, oxylipin biosynthetic process, protein binding, response to bacterium, response to fungus, response to herbivore, response to jasmonic acid, response to other organism, response to water deprivation, response to wounding, salicylic acid binding","DEGs",17
"AT3G28220","AT3G28220","Chir05Ox-b05920.2","AT3G28220.1",0.9175,0.361,NA,NA,"alpha-amino acid metabolic process, amine metabolic process, cellular component assembly, chloroplast envelope, cytosol, nucleus, plant-type vacuole, response to jasmonic acid, response to wounding, secondary metabolic process","DEGs",18
